Data,Pr,Pr_acc_1,Pr_index_1,Pr_acc_2,Pr_index_2,Pr_acc_3,Pr_index_3,Pr_acc_4,Pr_index_4,Pr_acc_5,Pr_index_5,Pr_acc_6,Pr_index_6,Pr_acc_7,Pr_index_7,Pr_acc_8,Pr_index_8,Pr_acc_9,Pr_index_9,Pr_acc_10,Pr_index_10,Pr_acc_11,Pr_index_11,Pr_acc_12,Pr_index_12
1999-03-01,140.161111111111,140.161111111111,0.748036147812912,341.2799999999988,0.897597753788464,483.95222222222105,0.8543477729982637,683.2466666666651,0.9488849876232193,954.8533333333306,1.1877379261503824,1024.9166666666642,1.1494697357318073,1026.364444444442,1.0053333094336494,1026.8199999999977,0.8409121093077044,1027.1588888888866,0.6289752612088713,1027.7766666666644,0.31785779679301723,1049.6288888888864,-0.06004189165655283,1069.8777777777752,-0.5694560981954646
1999-04-01,23.9655555555555,23.9655555555555,-0.25212672200955877,164.1266666666663,0.32791639168764053,365.2455555555545,0.5894362897429221,507.91777777777656,0.6119745884141475,707.2122222222201,0.7573377897708079,978.8188888888865,1.0670383420822798,1048.8822222222198,1.0522836070011072,1050.3299999999977,0.9010336039428347,1050.7855555555532,0.7056678860134374,1051.1244444444421,0.41759654308967536,1051.7422222222197,-0.04817748034535749,1073.594444444442,-0.5454405525828241
1999-05-01,19.7988888888888,19.7988888888888,-0.33454149736467803,43.764444444444074,-0.4290883411473782,183.92555555555538,0.03880278946875605,385.0444444444434,0.32707651445151936,527.7166666666649,0.37941286988412914,727.0111111111094,0.5657849321933461,998.6177777777751,0.9465589089639241,1068.6811111111087,0.9473570608437437,1070.1288888888864,0.7676178978210105,1070.584444444442,0.4996115689537534,1070.9233333333307,0.05878613607508704,1071.5411111111084,-0.5587014195324388
1999-06-01,0.28,0.28,-1.6122452273691592,20.078888888888574,-0.7726346822496256,44.04444444444436,-0.8142502304770313,184.20555555555543,-0.3190164899852823,385.3244444444429,0.01280858727329475,527.9966666666653,0.08107461404989931,727.2911111111092,0.30598413122924634,998.8977777777753,0.768330651524219,1068.9611111111087,0.7638988405294357,1070.4088888888864,0.49887611052978065,1070.864444444442,0.058459705245548416,1071.2033333333309,-0.5608844947511804
1999-07-01,0.0277777777777777,0.0277777777777777,-2.086736139813995,0.30777777777755033,-2.034762669012396,20.106666666666634,-1.1759446664161417,44.072222222222194,-1.256271317823251,184.23333333333275,-0.7194781598839354,385.3522222222211,-0.34916461716369124,528.0244444444429,-0.27513431762980284,727.318888888887,-0.019564105001286393,998.925555555553,0.5357914551780303,1068.9888888888865,0.4929243412979381,1070.436666666664,0.05608810312703878,1070.8922222222195,-0.5628956309245926
1999-08-01,0.368888888888888,0.368888888888888,-1.54908063208077,0.3966666666664383,-1.9742013195911754,0.6766666666667225,-2.3208971620175296,20.47555555555558,-1.6501343852663637,44.44111111111062,-1.7869587713478232,184.60222222222197,-1.20931727399683,385.72111111110985,-0.7903278210280233,528.393333333332,-0.7340238703247489,727.687777777776,-0.4644017376001235,999.294444444442,0.19412747949675904,1069.3577777777753,0.05010392994548422,1070.805555555553,-0.5634559458733865
1999-09-01,27.3844444444444,27.3844444444444,-0.1923529834425849,27.753333333333064,-0.6367965951331668,27.781111111111123,-1.0335518539969457,28.06111111111118,-1.4950453948974456,47.85999999999953,-1.7393162067460266,71.82555555555537,-2.0951802111879214,211.98666666666628,-1.6495788515512284,413.10555555555436,-1.2377487806826624,555.7777777777764,-1.2381086209615835,755.0722222222205,-0.9788460098352741,1026.6788888888864,-0.18992495528668146,1096.7422222222197,-0.3971111699846969
1999-10-01,129.415555555555,129.415555555555,0.6902193869884544,156.79999999999916,0.2967169737917063,157.16888888888832,-0.07173811414606582,157.19666666666618,-0.44047389408249077,157.47666666666572,-0.8563187082387581,177.27555555555486,-1.2517208764580752,201.24111111111026,-1.7177569547879432,341.4022222222214,-1.6032862486737005,542.5211111111093,-1.304291658824961,685.1933333333316,-1.3612148045150718,884.4877777777754,-1.0415500051991398,1156.0944444444415,-0.026129633410667222
1999-11-01,285.919999999999,285.919999999999,1.3455521837321343,415.33555555555375,1.0768872793717172,442.71999999999844,0.7676731527379602,443.08888888888737,0.4681829968423261,443.11666666666474,0.17108488736966526,443.39666666666506,-0.16277987574806585,463.1955555555537,-0.4961460674876433,487.16111111110934,-0.9044900221931768,627.3222222222204,-0.898581192630432,828.4411111111085,-0.6025015582755505,971.1133333333304,-0.5126548750057319,1170.4077777777743,0.061422858273463075
1999-12-01,293.51,293.51,1.3707161510059145,579.4299999999987,1.4127638354036007,708.845555555554,1.2594338835066419,736.2299999999985,1.0395512991727198,736.5988888888869,0.8130129790203858,736.626666666665,0.5868433020302172,736.9066666666649,0.33116185301693146,756.7055555555539,0.0742669533659047,780.6711111111093,-0.2514548997544728,920.8322222222205,-0.1593516435285566,1121.9511111111083,0.33726470157948446,1264.6233333333303,0.6206554534472004
