1243019;-12.76;-43.95
1244019;-12.38;-44.93
1245007;-12.43;-45.08
1245015;-12.76;-45.94
1343008;-13.29;-43.9
1344002;-13.27;-44.55
1344013;-13.71;-44.63
1344014;-13.33;-44.65
1344015;-13.56;-44.3
1344016;-13.45;-44.56
1344017;-13.4;-44.19
1346006;-13.75;-46.14
1444005;-14.28;-44.4
1444017;-14.26;-44.52
1445000;-14.83;-45.17
1144005;-11.61;-44.15
1144014;-11.97;-44.87
1145004;-10.99;-45.52
1145019;-11.51;-45.04
1243019;-12.76;-43.95
1244019;-12.38;-44.93
1245004;-12.13;-45.1
1245005;-12.41;-45.12
1245007;-12.43;-45.08
1245014;-12.12;-45.81
1245015;-12.76;-45.94
1344002;-13.27;-44.55
1344014;-13.33;-44.65
1346006;-13.75;-46.14
1143010;-11.35;-43.84
1144027;-11;-44.52
1145001;-11.04;-45.2
1145004;-10.99;-45.52
1145019;-11.51;-45.04
1244011;-11.15;-45
1245014;-12.12;-45.81
