Data,wb,wb_acc_1,wb_index_1,wb_acc_2,wb_index_2,wb_acc_3,wb_index_3,wb_acc_4,wb_index_4,wb_acc_5,wb_index_5,wb_acc_6,wb_index_6,wb_acc_7,wb_index_7,wb_acc_8,wb_index_8,wb_acc_9,wb_index_9,wb_acc_10,wb_index_10,wb_acc_11,wb_index_11,wb_acc_12,wb_index_12
1934-01-01,9.737660346110601,9.737660346110601,0.48856199683811485,,,,,,,,,,,,,,,,,,,,,,
1934-02-01,22.970437967221173,22.970437967221173,0.5879552877739008,32.708098313331774,0.5596940858599241,,,,,,,,,,,,,,,,,,,,
1934-03-01,28.22988835999857,28.22988835999857,0.6262398991877051,51.20032632721974,0.6317768130043706,60.93798667333034,0.6103562006394502,,,,,,,,,,,,,,,,,,
1934-04-01,-9.452887487778113,-9.452887487778113,0.33562477428481374,18.777000872220455,0.5037559274243727,41.74743883944163,0.5557113653961541,51.48509918555223,0.5659256431636601,,,,,,,,,,,,,,,,
1934-05-01,-78.00621977777777,-78.00621977777777,-0.33784403398793694,-87.45910726555589,0.017240203456313788,-59.22921890555732,0.24315094000427384,-36.258780938336145,0.3488890441304711,-26.521120592225543,0.3766069003079786,,,,,,,,,,,,,,
1934-06-01,-99.65677679999999,-99.65677679999999,-0.6206478343498956,-177.66299657777776,-0.533126840590026,-187.11588406555586,-0.23915128301274682,-158.88599570555732,0.0034321932969257505,-135.91555773833613,0.10297145995747808,-126.17789739222553,0.11328943598558276,,,,,,,,,,,,
1934-07-01,-111.14290099444578,-111.14290099444578,-0.7955333062277293,-210.79967779444576,-0.7969151425212119,-288.80589757222356,-0.7490646777986363,-298.2587850600016,-0.48260031588919494,-270.0288967000031,-0.28162415399690455,-247.0584587327819,-0.21717090556835422,-237.3207983866713,-0.19368666747710864,,,,,,,,,,
1934-08-01,-135.47014916500035,-135.47014916500035,-1.2637448324182792,-246.61305015944612,-1.155296957149739,-346.26982695944616,-1.1397158372489695,-424.27604673722385,-1.092129831964465,-433.728934225002,-0.8689594262697167,-405.49904586500344,-0.7048495549657612,-382.52860789778225,-0.6258969353151216,-372.79094755167165,-0.614512386243594,,,,,,,,
1934-09-01,-137.25683312333578,-137.25683312333578,-1.3062447047676686,-272.7269822883361,-1.5064617910867109,-383.8698832827819,-1.479382967252997,-483.5266600827819,-1.506079866469976,-561.5328798605597,-1.505912194454492,-570.9857673483377,-1.3101274330265618,-542.7558789883392,-1.1475753689085462,-519.785441021118,-1.0957110868087354,-510.0477806750074,-1.1433563919382197,,,,,,
1934-10-01,-98.7118124566691,-98.7118124566691,-0.6071538082117821,-235.96864558000487,-1.0378401714048566,-371.4387947450052,-1.3561085397028174,-482.581695739451,-1.498279319696599,-582.238472539451,-1.6372926893721784,-660.2446923172288,-1.6984124754543606,-669.6975798050069,-1.6030680448221446,-641.4676914450083,-1.5147796796648694,-618.4972534777871,-1.5390189685001436,-608.7595931316765,-1.6815157648018615,,,,
1934-11-01,33.89820553666519,33.89820553666519,0.6667775849010017,-64.8136069200039,0.1316908389173659,-202.0704400433397,-0.3048803591500652,-337.54058920834007,-0.6482047207539668,-448.68349020278583,-0.932551902979223,-548.3402670027858,-1.2196467914828908,-626.3464867805636,-1.44268507229825,-635.7993742683417,-1.494803485633374,-607.5694859083432,-1.4987456744917882,-584.599047941122,-1.5818728531452166,-574.8613875950114,-1.7285036341874997,,
1934-12-01,126.87432463610999,126.87432463610999,1.2487046902719428,160.7725301727752,1.0175451550459589,62.06071771610608,0.6135126013032165,-75.1961154072297,0.24527314627103353,-210.66626457223003,-0.10342006275059935,-321.8091655666758,-0.43837589849143166,-421.4659423666758,-0.747939979221249,-499.4721621444536,-1.0276575823266125,-508.92504963223166,-1.1393061839140395,-480.6951612722331,-1.1551937395245648,-457.72472330501193,-1.1682778988606877,-447.98706295890133,-1.0939165879977684
1935-01-01,110.02099433444336,110.02099433444336,1.1527778990537376,236.89531897055335,1.2535681825928788,270.79352450721854,1.137952053631031,172.08171205054944,0.834657679908306,34.82487892721366,0.5181784648830576,-100.64527023778669,0.17938773363331834,-211.78817123223246,-0.12107046360759163,-311.44494803223245,-0.4209829870317497,-389.45116781001025,-0.7134736745957723,-398.9040552977883,-0.8213963138597185,-370.6741669377898,-0.7524321539178194,-347.7037289705686,-0.5681466415231315
1935-02-01,63.29655206999918,63.29655206999918,0.8662367244518235,173.31754640444254,1.057985806948896,300.19187104055254,1.2037884813497097,334.0900765772177,1.1556331176903165,235.37826412054864,0.9358482630297889,98.12143099721284,0.6580431478415031,-37.348718167787496,0.3517990908874861,-148.4916191622333,0.07441879342668863,-248.14839596223328,-0.22246957387239627,-326.1546157400111,-0.5260126246138676,-335.60750322778915,-0.5850339103970159,-307.3776148677906,-0.36040809449821926
1935-03-01,139.0243330711096,139.0243330711096,1.315772842035695,202.32088514110876,1.1490605510875838,312.3418794755521,1.2305313383961518,439.21620411166214,1.3451583844159187,473.1144096483273,1.365113342948779,374.40259719165823,1.241311530447096,237.14576406832245,1.0275046984784468,101.67561490332209,0.788572602031727,-9.467286091123697,0.5782735326701142,-109.12406289112369,0.34690410146343403,-187.1302826689015,0.1230093706872972,-196.58317015667956,0.20003534748973623
1935-04-01,43.689890423332386,43.689890423332386,0.7351369054855041,182.71422349444197,1.087853759383919,246.0107755644412,1.081146054288848,356.0317698988845,1.1962713282258624,482.9060945349945,1.3816055221072836,516.8043000716597,1.513874699064326,418.0924876149906,1.4363653905457299,280.8356544916548,1.27034666736139,145.36550532665447,1.0800378183580124,34.22260433220869,0.916813101681018,-65.4341724677913,0.7024459867946431,-143.44039224556906,0.46371197477172194
1935-05-01,-66.05566287722243,-66.05566287722243,-0.20070887333986656,-22.365772453890045,0.32925065643863843,116.65856061721955,0.7620137546915673,179.95511268721873,0.8512158380515669,289.97610702166213,1.0398400215388655,416.8504316577721,1.324302658624903,450.74863719443726,1.5075157418446352,352.03682473776814,1.4557136382594822,214.77999161443242,1.300779596318792,79.30984244943204,1.0950000415956176,-31.833058545013742,0.8622906245703035,-131.48983534501372,0.5225638617510244
1935-06-01,-100.72622244444442,-100.72622244444442,-0.6360691013683824,-166.78188532166683,-0.45590444233527605,-123.09199489833446,0.017662821941455395,15.932338172775118,0.4804876312530846,79.22889024277433,0.6161729079511421,189.24988457721764,0.859532075227922,316.1242092133277,1.2091336651257025,350.02241474999283,1.450514326636246,251.3106022933237,1.4159418652941684,114.05376916998797,1.2319652836322876,-21.416379995012377,0.9118316163910617,-132.55928098945816,0.5173037925194626
1935-07-01,-112.2773468188897,-112.2773468188897,-0.8140349356097174,-213.0035692633341,-0.816345260635122,-279.05923214055656,-0.6923349092646651,-235.3693417172242,-0.2471179107193745,-96.34500864611455,0.20544326835918197,-33.0484565761154,0.34893320127101685,76.972537758328,0.6423086363308138,203.84686239443792,1.0661010228938888,237.74506793110316,1.3732566814218274,139.03325547443407,1.330253591919052,1.776422351098276,1.0221138367978981,-133.69372681390206,0.511722617793356
1935-08-01,-133.13014809833373,-133.13014809833373,-1.210306022095164,-245.4074949172234,-1.141410906205277,-346.1337173616679,-1.1386419906749343,-412.1893802388903,-1.021546540487173,-368.49948981555787,-0.6140798855855722,-229.47515674444833,-0.16714493614848025,-166.1786046744491,0.006365609300961247,-56.157610340005775,0.34410947898106303,70.71671429610424,0.8397777332035713,104.6149198327694,1.194785613012833,5.903107376100309,1.0417332499959657,-131.35372574723544,0.5232332249392605
1935-09-01,-135.639610866114,-135.639610866114,-1.2677101818185057,-268.7697589644477,-1.4455481716374847,-381.04710578333743,-1.4502120957375773,-481.7733282277819,-1.4916465610810845,-547.8289911050042,-1.424725823822925,-504.13910068167195,-1.0507650219840516,-365.11476761056224,-0.5722102472313214,-301.81821554056313,-0.3909779179293213,-191.79722120611973,-0.030278340816073303,-64.92289657000978,0.5231918337865812,-31.024691033344567,0.86613537420339,-129.73650349001366,0.5311848525855942
