Date,Q
1984-12-01,246.479
1984-12-02,252.041
1984-12-03,256.524
1984-12-04,261.037
1984-12-05,266.719
1984-12-06,271.298
1984-12-07,272.447
1984-12-08,273.598
1984-12-09,273.598
1984-12-10,272.447
1984-12-11,272.447
1984-12-12,275.906
1984-12-13,277.062
1984-12-14,278.221
1984-12-15,285.209
1984-12-16,286.38
1984-12-17,286.38
1984-12-18,286.38
1984-12-19,286.38
1984-12-20,286.38
1984-12-21,285.209
1984-12-22,284.039
1984-12-23,284.039
1984-12-24,282.872
1984-12-25,278.221
1984-12-26,273.598
1984-12-27,272.447
1984-12-28,272.447
1984-12-29,271.298
1984-12-30,270.15
1984-12-31,267.861
1984-11-01,278.221
1984-11-02,281.707
1984-11-03,282.872
1984-11-04,284.039
1984-11-05,281.707
1984-11-06,278.221
1984-11-07,272.447
1984-11-08,269.005
1984-11-09,264.44
1984-11-10,262.169
1984-11-11,259.906
1984-11-12,257.649
1984-11-13,255.4
1984-11-14,253.159
1984-11-15,253.159
1984-11-16,248.698
1984-11-17,247.587
1984-11-18,248.698
1984-11-19,246.479
1984-11-20,244.267
1984-11-21,242.063
1984-11-22,239.866
1984-11-23,239.866
1984-11-24,239.866
1984-11-25,242.063
1984-11-26,243.164
1984-11-27,243.164
1984-11-28,242.063
1984-11-29,243.164
1984-11-30,243.164
1984-10-01,231.154
1984-10-02,235.495
1984-10-03,237.676
1984-10-04,239.866
1984-10-05,238.77
1984-10-06,239.866
1984-10-07,238.77
1984-10-08,236.585
1984-10-09,234.407
1984-10-10,231.154
1984-10-11,228.995
1984-10-12,226.843
1984-10-13,224.699
1984-10-14,223.63
1984-10-15,222.563
1984-10-16,222.563
1984-10-17,222.563
1984-10-18,224.699
1984-10-19,225.77
1984-10-20,224.699
1984-10-21,223.63
1984-10-22,222.563
1984-10-23,223.63
1984-10-24,228.995
1984-10-25,235.495
1984-10-26,244.267
1984-10-27,250.925
1984-10-28,255.4
1984-10-29,262.169
1984-10-30,269.005
1984-10-31,273.598
1984-09-01,242.063
1984-09-02,246.479
1984-09-03,247.587
1984-09-04,246.479
1984-09-05,245.372
1984-09-06,244.267
1984-09-07,242.063
1984-09-08,239.866
1984-09-09,237.676
1984-09-10,237.676
1984-09-11,235.495
1984-09-12,235.495
1984-09-13,235.495
1984-09-14,237.676
1984-09-15,237.676
1984-09-16,239.866
1984-09-17,242.063
1984-09-18,242.063
1984-09-19,240.963
1984-09-20,239.866
1984-09-21,238.77
1984-09-22,237.676
1984-09-23,237.676
1984-09-24,235.495
1984-09-25,235.495
1984-09-26,235.495
1984-09-27,236.585
1984-09-28,233.32
1984-09-29,231.154
1984-09-30,231.154
1984-08-01,228.995
1984-08-02,228.995
1984-08-03,230.073
1984-08-04,230.073
1984-08-05,230.073
1984-08-06,230.073
1984-08-07,228.995
1984-08-08,228.995
1984-08-09,227.918
1984-08-10,226.843
1984-08-11,225.77
1984-08-12,225.77
1984-08-13,225.77
1984-08-14,225.77
1984-08-15,225.77
1984-08-16,225.77
1984-08-17,225.77
1984-08-18,224.699
1984-08-19,224.699
1984-08-20,224.699
1984-08-21,223.63
1984-08-22,223.63
1984-08-23,223.63
1984-08-24,223.63
1984-08-25,223.63
1984-08-26,224.699
1984-08-27,224.699
1984-08-28,223.63
1984-08-29,224.699
1984-08-30,228.995
1984-08-31,235.495
1984-07-01,236.585
1984-07-02,235.495
1984-07-03,235.495
1984-07-04,235.495
1984-07-05,234.407
1984-07-06,234.407
1984-07-07,233.32
1984-07-08,233.32
1984-07-09,233.32
1984-07-10,233.32
1984-07-11,233.32
1984-07-12,233.32
1984-07-13,233.32
1984-07-14,233.32
1984-07-15,232.236
1984-07-16,232.236
1984-07-17,232.236
1984-07-18,233.32
1984-07-19,233.32
1984-07-20,232.236
1984-07-21,231.154
1984-07-22,230.073
1984-07-23,231.154
1984-07-24,230.073
1984-07-25,230.073
1984-07-26,230.073
1984-07-27,230.073
1984-07-28,228.995
1984-07-29,228.995
1984-07-30,228.995
1984-07-31,228.995
1984-06-01,249.81
1984-06-02,248.698
1984-06-03,247.587
1984-06-04,246.479
1984-06-05,246.479
1984-06-06,246.479
1984-06-07,245.372
1984-06-08,245.372
1984-06-09,244.267
1984-06-10,244.267
1984-06-11,244.267
1984-06-12,243.164
1984-06-13,243.164
1984-06-14,242.063
1984-06-15,242.063
1984-06-16,240.963
1984-06-17,239.866
1984-06-18,239.866
1984-06-19,238.77
1984-06-20,238.77
1984-06-21,237.676
1984-06-22,237.676
1984-06-23,237.676
1984-06-24,237.676
1984-06-25,237.676
1984-06-26,236.585
1984-06-27,236.585
1984-06-28,236.585
1984-06-29,236.585
1984-06-30,236.585
1984-05-01,328.484
1984-05-02,326.02
1984-05-03,321.113
1984-05-04,316.234
1984-05-05,313.805
1984-05-06,306.56
1984-05-07,301.765
1984-05-08,295.812
