,stats_kms,p-value,"q7,10"
P1,0.2339541911656443,0.19071481565491122,215.54785687968936
P2,0.20692123213840052,0.47939277081363296,190.80667677306283
P3,0.22322969199920284,0.3859914437924402,251.26384581995057
P4,0.10699872126389487,0.983559253270364,214.8685467066293
P5,0.13512982280799368,0.9815766267951571,185.81032298371653
P6,0.17873614135535365,0.8529970341852375,152.61147255484033
