,ND,mD,MD,SED
SPI-12|P1(1935 - 1984),0.48491379309258736,0.2956896551852599,0.14181034483180685,0.07758620689034554
SPI-12|P2(1985 - 2020),0.4571428571227131,0.20000000002786322,0.14285714286430462,0.19999999998511875
SPEI-12|P1(1935 - 1984),0.5600000000529596,0.29999999992963716,0.05999999999763915,0.08000000001976419
SPEI-12|P2(1985 - 2020),0.37142857164455984,0.22857142838206423,0.17142857123969701,0.22857142873367925
SRI-12|P1(1935 - 1984),0.5510204081586975,0.36734693877515506,0.06122448980133037,0.02040816326481677
SRI-12|P2(1985 - 2020),0.48286139430290514,0.2816691493945971,0.05663189372934916,0.17883756257314706
