Data,Q,Q_acc_1,Q_index_1,Q_acc_2,Q_index_2,Q_acc_3,Q_index_3,Q_acc_4,Q_index_4,Q_acc_5,Q_index_5,Q_acc_6,Q_index_6,Q_acc_7,Q_index_7,Q_acc_8,Q_index_8,Q_acc_9,Q_index_9,Q_acc_10,Q_index_10,Q_acc_11,Q_index_11,Q_acc_12,Q_index_12
1934-01-01,368.7938387096775,368.7938387096775,1.368970790414152,,,,,,,,,,,,,,,,,,,,,,
1934-02-01,285.778,285.778,0.3988329646216448,654.5718387096775,0.94118101224527,,,,,,,,,,,,,,,,,,,,
1934-03-01,308.4484516129032,308.4484516129032,0.680363652694049,594.2264516129032,0.5599777264055955,963.0202903225808,0.9014991493002179,,,,,,,,,,,,,,,,,,
1934-04-01,258.5334,258.5334,0.04018108926280806,566.9818516129033,0.3794839120695238,852.7598516129033,0.4015936986001845,1221.5536903225807,0.7267637481004391,,,,,,,,,,,,,,,,
1934-05-01,245.7784516129032,245.7784516129032,-0.13643136411744622,504.3118516129032,-0.05874845865058513,812.7603032258064,0.20969597973641577,1098.5383032258064,0.26975974453620616,1467.3321419354838,0.5810750670588075,,,,,,,,,,,,,,
1934-06-01,213.4184333333333,213.4184333333333,-0.614028509766413,459.19688494623654,-0.3973239650778294,717.7302849462365,-0.27292846231985235,1026.1787365591397,-0.01512758390696528,1311.95673655914,0.07248615777361984,1680.7505752688173,0.384194916859239,,,,,,,,,,,,
1934-07-01,213.4794516129032,213.4794516129032,-0.6130833389197504,426.8978849462365,-0.6537527317174445,672.6763365591397,-0.5168328439551855,931.2097365591396,-0.41019618927738843,1239.658188172043,-0.17791613749570143,1525.4361881720429,-0.08483442912099574,1894.2300268817205,0.22113002251366412,,,,,,,,,,
1934-08-01,206.1504193548387,206.1504193548387,-0.7279480629226789,419.6298709677419,-0.713254298341998,633.0483043010752,-0.7406606890351344,878.8267559139783,-0.6398234222330101,1137.3601559139784,-0.5495371708406362,1445.8086075268818,-0.3377575343389427,1731.5866075268816,-0.24462741024618626,2100.3804462365592,0.056803447138684376,,,,,,,,
1934-09-01,203.4501666666667,203.4501666666667,-0.7709677127141454,409.60058602150536,-0.7965228870368032,623.0800376344087,-0.7984524851833087,836.4984709677419,-0.8322376112573139,1082.276922580645,-0.7590476596516899,1340.8103225806449,-0.6860024977148901,1649.258774193548,-0.49162249387138723,1935.0367741935484,-0.39967587211122774,2303.8306129032258,-0.10102779949752944,,,,,,
1934-10-01,184.5112258064516,184.5112258064516,-1.084229226223503,387.9613924731183,-0.9810342290489138,594.111811827957,-0.9700521853639946,807.5912634408602,-0.9674761701505589,1021.0096967741935,-1.00075036375819,1266.7881483870967,-0.9427409474994943,1525.3215483870965,-0.8796188369029475,1833.7699999999998,-0.6923165055894036,2119.5480000000002,-0.5948857150252885,2488.3418387096776,-0.29243552454866245,,,,
