Date,Q
1969-12-01,244.501
1969-12-02,248.069
1969-12-03,255.231
1969-12-04,260.024
1969-12-05,268.447
1969-12-06,274.491
1969-12-07,284.207
1969-12-08,292.754
1969-12-09,297.657
1969-12-10,306.27
1969-12-11,314.923
1969-12-12,319.886
1969-12-13,324.861
1969-12-14,328.601
1969-12-15,332.348
1969-12-16,337.355
1969-12-17,341.119
1969-12-18,338.609
1969-12-19,331.099
1969-12-20,327.354
1969-12-21,326.107
1969-12-22,329.849
1969-12-23,337.355
1969-12-24,341.119
1969-12-25,341.119
1969-12-26,344.889
1969-12-27,349.927
1969-12-28,356.242
1969-12-29,356.242
1969-12-30,356.242
1969-12-31,357.507
1969-11-01,205.845
1969-11-02,209.313
1969-11-03,210.471
1969-11-04,211.63
1969-11-05,215.114
1969-11-06,217.441
1969-11-07,218.607
1969-11-08,220.941
1969-11-09,224.449
1969-11-10,226.793
1969-11-11,226.793
1969-11-12,224.449
1969-11-13,224.449
1969-11-14,225.621
1969-11-15,233.85
1969-11-16,240.942
1969-11-17,244.501
1969-11-18,244.501
1969-11-19,244.501
1969-11-20,243.314
1969-11-21,243.314
1969-11-22,243.314
1969-11-23,238.574
1969-11-24,235.029
1969-11-25,238.574
1969-11-26,235.029
1969-11-27,231.494
1969-11-28,232.671
1969-11-29,233.85
1969-11-30,238.574
1969-10-01,203.539
1969-10-02,197.792
1969-10-03,189.793
1969-10-04,189.793
1969-10-05,192.073
1969-10-06,196.646
1969-10-07,195.501
1969-10-08,195.501
1969-10-09,194.357
1969-10-10,190.933
1969-10-11,189.793
1969-10-12,189.793
1969-10-13,189.793
1969-10-14,189.793
1969-10-15,189.793
1969-10-16,194.357
1969-10-17,200.088
1969-10-18,204.692
1969-10-19,205.845
1969-10-20,209.313
1969-10-21,210.471
1969-10-22,210.471
1969-10-23,210.471
1969-10-24,212.79
1969-10-25,211.63
1969-10-26,210.471
1969-10-27,210.471
1969-10-28,208.156
1969-10-29,207.0
1969-10-30,205.845
1969-10-31,205.845
1969-09-01,198.939
1969-09-02,197.792
1969-09-03,202.387
1969-09-04,205.845
1969-09-05,205.845
1969-09-06,205.845
1969-09-07,205.845
1969-09-08,202.387
1969-09-09,201.237
1969-09-10,201.237
1969-09-11,201.237
1969-09-12,197.792
1969-09-13,196.646
1969-09-14,196.646
1969-09-15,196.646
1969-09-16,195.501
1969-09-17,194.357
1969-09-18,194.357
1969-09-19,194.357
1969-09-20,194.357
1969-09-21,194.357
1969-09-22,194.357
1969-09-23,194.357
1969-09-24,197.792
1969-09-25,198.939
1969-09-26,204.692
1969-09-27,205.845
1969-09-28,205.845
1969-09-29,205.845
1969-09-30,207.0
1969-08-01,208.156
1969-08-02,208.156
1969-08-03,208.156
1969-08-04,208.156
1969-08-05,208.156
1969-08-06,208.156
1969-08-07,205.845
1969-08-08,205.845
1969-08-09,205.845
1969-08-10,205.845
1969-08-11,205.845
1969-08-12,204.692
1969-08-13,203.539
1969-08-14,203.539
1969-08-15,203.539
1969-08-16,203.539
1969-08-17,203.539
1969-08-18,202.387
1969-08-19,201.237
1969-08-20,201.237
1969-08-21,201.237
1969-08-22,201.237
1969-08-23,201.237
1969-08-24,201.237
1969-08-25,200.088
1969-08-26,198.939
1969-08-27,198.939
1969-08-28,198.939
1969-08-29,198.939
1969-08-30,198.939
1969-08-31,198.939
1969-07-01,217.441
1969-07-02,217.441
1969-07-03,217.441
1969-07-04,216.277
1969-07-05,215.114
1969-07-06,215.114
1969-07-07,215.114
1969-07-08,215.114
1969-07-09,215.114
1969-07-10,215.114
1969-07-11,215.114
1969-07-12,215.114
1969-07-13,215.114
1969-07-14,215.114
1969-07-15,215.114
1969-07-16,212.79
1969-07-17,212.79
1969-07-18,211.63
1969-07-19,210.471
1969-07-20,210.471
1969-07-21,210.471
1969-07-22,210.471
1969-07-23,210.471
1969-07-24,210.471
1969-07-25,210.471
1969-07-26,210.471
1969-07-27,210.471
1969-07-28,209.313
1969-07-29,209.313
1969-07-30,209.313
1969-07-31,208.156
1969-06-01,226.793
1969-06-02,226.793
1969-06-03,226.793
1969-06-04,226.793
1969-06-05,226.793
1969-06-06,226.793
1969-06-07,226.793
