TipoEstaca;Codigo;Latitude;Longitude
2;1146002;-11.7358;-46.7519
2;1146004;-11.4661;-46.82
2;1146013;-11.4692;-46.8136
2;1245002;-12.3333;-45
2;1245003;-12.6833;-45.8333
2;1245011;-12.4;-45.15
2;1245012;-12.4333;-45.1
2;1144016;-11.75;-44.5167
2;1144022;-11.3333;-44.3333
2;1144025;-11.5;-44
2;1146014;-11.8161;-46.7875
2;1343023;-13.3;-43.9167
2;1245064;-12.76;-45.1489
2;1245065;-12.6422;-45.0836
2;1245066;-12.5169;-45.0967
2;1446003;-14.9333;-46.25
2;1044009;-10.2311;-44.2394
2;1146015;-11.9528;-46.7547
2;1146020;-11.7792;-46.4119
2;1044008;-10.2197;-44.6414
2;1445005;-14.5911;-45.8669
2;1445006;-14.0797;-45.855
2;1445011;-14.5903;-45.8525
2;1446008;-14.0972;-46.1453
2;1446016;-14.0961;-46.1456
2;1344013;-13.7106;-44.6325
2;1345020;-13.8942;-45.8328
2;1346004;-13.0367;-46.7769
2;1443022;-14.2969;-43.7711
2;1344003;-13.0825;-44.6197
2;1344007;-13.4;-44.2
2;1344008;-13.1961;-44.1533
2;1043000;-10.0333;-43.95
2;1043001;-10.3667;-43.9667
2;1244002;-12.0103;-44.6969
2;945001;-9.95;-45.4833
2;1145000;-11.9167;-45.0333
2;1145009;-11.9167;-45.6333
2;1145022;-11.9167;-45.4167
2;1444020;-14.2167;-44.6167
2;1045000;-10.5167;-45.2167
2;1045001;-10.45;-45.15
2;1045003;-10.05;-45.0667
2;1045005;-10.65;-45.1833
2;1244009;-12.1667;-44.9833
2;1443006;-14.7;-43.8167
2;1443007;-14.7667;-43.9333
2;1443008;-14.8667;-43.9167
2;1443009;-14.9333;-43.7
2;1344000;-13.4356;-44.4986
2;1345001;-13.3825;-45.3592
2;1143014;-11.2167;-43.9833
2;1144009;-11.0181;-44.5125
2;1444002;-14.4167;-44.3833
2;1444008;-14.3486;-44.5694
2;1146027;-11.9311;-46.3322
2;1244011;-11.1544;-45.0092
2;1244021;-12.2322;-44.9342
2;1245004;-12.1347;-45.1042
2;1245014;-12.1256;-45.8108
2;1245017;-12.2908;-45.5447
2;1245036;-12.2994;-45.4497
2;1245039;-12.2342;-45.2961
2;1245060;-12.2256;-45.6417
2;1245061;-12.0719;-45.4869
2;1245062;-12.1914;-45.5925
2;1245032;-12.4675;-45.2019
2;1245018;-12.1072;-45.9536
2;1245019;-12.0697;-45.8944
2;1245020;-12.0631;-45.5589
2;1245021;-12.0589;-45.5931
2;1245024;-12.0858;-45.8058
2;1246005;-12.0311;-46.0528
2;1445001;-14.3875;-45.8386
2;1445002;-14.2592;-45.2772
2;1345007;-13.9861;-45.3875
2;1345005;-13.2206;-45.1533
2;1345006;-13.74;-45.4644
2;1345022;-13.6547;-45.0697
2;1346011;-13.9383;-46.1864
2;1046003;-10.5486;-46.7589
2;1146003;-11.6764;-46.6642
2;1146012;-11.6981;-46.7367
2;1246010;-12.6464;-46.6572
2;1243019;-12.7692;-43.9575
2;1245041;-12.7833;-45.1606
2;1245042;-12.6628;-45.3617
2;1245043;-12.7369;-45.5369
2;1245044;-12.7458;-45.9458
2;1245045;-12.5722;-45.765
2;1245046;-12.8367;-45.3058
2;1245047;-12.4533;-45.8556
2;1245048;-11.4758;-45.4814
2;1245049;-12.4319;-45.2189
2;1245050;-12.5794;-45.9411
2;1245051;-12.8008;-45.7272
2;1245052;-12.6639;-45.02
2;1245053;-12.6344;-45.4547
2;1245054;-12.6544;-45.6258
2;1245055;-12.6544;-45.6258
2;1245056;-12.9761;-45.5025
2;1245058;-12.4253;-45.6258
2;1246017;-12.6172;-46.1181
2;1246018;-12.3564;-46.0736
2;1246021;-12.7969;-46.0922
2;1246023;-12.9947;-46.0819
2;1245038;-12.1792;-45.7522
2;1245057;-12.1364;-45.8108
2;1245059;-12.3158;-45.8283
2;1245063;-12.2633;-45.7622
2;1246008;-12.1719;-46.2294
2;1246019;-12.1669;-46.2181
2;1246020;-12.4039;-46.1233
2;1246022;-12.2236;-46.0272
2;1446014;-14.3575;-46.1978
2;1144008;-11.0025;-44.5247
2;1446002;-14.0842;-46.3711
2;1344024;-13.3467;-44.6353
2;1344026;-13.3356;-44.6236
2;1344027;-13.3406;-44.6411
2;1344029;-13.3406;-44.6858
2;1446015;-14.3722;-46.2908
2;1146028;-11.9244;-46.255
2;1344001;-13.8333;-44.4667
2;1143009;-11.3428;-43.825
2;1043004;-10.8;-43.7833
2;1144002;-11;-44.5167
2;1144006;-11.3333;-44.9333
2;1244008;-12.4;-44.25
2;1344004;-13.3333;-44.6333
2;1344009;-13.7;-44.6333
2;1145003;-11.5333;-45.0667
2;1243010;-12.4833;-43.95
2;1245033;-12.4286;-45.1528
2;1346013;-13.4172;-46.3875
2;1146022;-11.7097;-46.7506
2;1143021;-11.3333;-43.85
2;1143022;-11.2333;-43.95
2;1144018;-11.0167;-44.5333
2;1144019;-11.1333;-44.25
2;1144020;-11.0833;-44.9167
2;1144023;-11.1;-44.75
2;1144024;-11.0667;-44.3333
2;1444013;-14.2667;-44.1667
2;1444019;-14.4228;-44.3656
2;1344023;-13.5833;-44.3167
2;1444018;-14.88;-44.0844
2;1344018;-13.4833;-44.6167
2;1344019;-13.3333;-44.6167
2;1344020;-13.7167;-44.65
2;1144015;-11.85;-44.7167
2;1145010;-11.7833;-45.2333
2;1446005;-14.0819;-46.3625
2;1244000;-12.7244;-44.5597
2;1244001;-12.3161;-44.8603
2;1244006;-12.6617;-44.285
2;1244007;-12.3069;-44.5344
2;1244016;-12.4364;-44.6175
2;1145002;-11.05;-45.2
2;1145006;-11.0206;-45.5258
2;1145008;-11.1692;-45.0861
2;1145021;-11.0333;-45.5333
2;1244003;-12.2319;-44.4186
2;1246000;-12.0908;-46.4794
2;1445007;-14.14;-45.47
2;1445008;-14.6139;-45.1547
2;1345010;-13.7175;-45.0122
2;1045011;-10.0442;-45.325
2;1444022;-14.5297;-44.6558
2;1345009;-13.6425;-45.485
2;1345011;-13.4133;-45.1897
2;1043009;-10.7978;-43.82
2;1244014;-12.3667;-44.9833
2;1045002;-10.5833;-45.2833
2;1443021;-14.3;-43.7667
2;1444014;-14.0333;-44.2
2;1444016;-14.2667;-44.1333
2;1144011;-11.8153;-44.3383
2;1144013;-11.7189;-44.5019
2;1144021;-11.5833;-44.1667
2;1344005;-13.05;-44.2
2;1044000;-10.0333;-44.2833
2;1044004;-10.4667;-44.05
2;1343002;-13;-43.7667
2;1343004;-13.2667;-43.9167
2;1145026;-11.6233;-45.6436
2;1146010;-11.7572;-46.2036
2;1244005;-12;-44.95
2;1244012;-12.0069;-44.9436
2;1244017;-12.9792;-44.0572
2;1045004;-10.05;-45.3667
2;1044001;-10.6;-44.6833
2;1044002;-10.0833;-44.9833
2;1044003;-10.2167;-44.6333
2;944002;-9.9833;-44.6167
2;1143013;-11.2014;-43.6739
2;1243002;-12.1997;-43.8317
2;1144007;-11.1833;-44.1333
2;1144010;-11.0094;-44.8658
2;1444012;-14.4333;-44.5167
2;1044005;-10.9667;-44.15
2;1044006;-10.6994;-44.4508
2;1344006;-13.435;-44.4967
2;1244013;-12.0183;-44.0333
2;1144003;-11.4161;-44.9894
2;1144012;-11.7494;-44.9089
2;1145007;-11.8167;-45.15
2;1243012;-12.3561;-43.6981
2;1145030;-11.4853;-45.1831
2;1145031;-11.7494;-45.6
2;1243028;-12.1253;-43.8842
2;1243020;-12.4853;-43.9406
2;1246007;-12.4056;-46.1325
2;1246013;-12.1561;-46.82
2;1446013;-14.0926;-46.362
2;1246002;-12.4067;-46.4333
