,Date,Consistence_2_1145011,Data2_1145011
0,1965-05-01,1,0.0
1,1965-05-02,1,0.0
2,1965-05-03,1,0.0
3,1965-05-04,1,0.0
4,1965-05-05,1,0.0
5,1965-05-06,1,0.0
6,1965-05-07,1,0.0
7,1965-05-08,1,0.0
8,1965-05-09,1,0.0
9,1965-05-10,1,0.0
10,1965-05-11,1,0.0
11,1965-05-12,1,0.0
12,1965-05-13,1,0.0
13,1965-05-14,1,0.0
14,1965-05-15,1,0.0
15,1965-05-16,1,0.0
16,1965-05-17,1,0.0
17,1965-05-18,1,0.0
18,1965-05-19,1,0.0
19,1965-05-20,1,0.0
20,1965-05-21,1,0.0
21,1965-05-22,1,0.0
22,1965-05-23,1,0.0
23,1965-05-24,1,0.0
24,1965-05-25,1,0.0
25,1965-05-26,1,0.0
26,1965-05-27,1,0.0
27,1965-05-28,1,0.0
28,1965-05-29,1,0.0
29,1965-05-30,1,0.0
30,1965-05-31,1,0.0
31,1965-02-01,1,0.0
32,1965-02-02,1,0.0
33,1965-02-03,1,0.0
34,1965-02-04,1,0.0
35,1965-02-05,1,3.2
36,1965-02-06,1,5.0
37,1965-02-07,1,2.0
38,1965-02-08,1,0.0
39,1965-02-09,1,0.0
40,1965-02-10,1,0.0
41,1965-02-11,1,0.0
42,1965-02-12,1,0.0
43,1965-02-13,1,0.0
44,1965-02-14,1,0.0
45,1965-02-15,1,0.0
46,1965-02-16,1,5.2
47,1965-02-17,1,8.0
48,1965-02-18,1,0.0
49,1965-02-19,1,5.0
50,1965-02-20,1,7.2
51,1965-02-21,1,0.0
52,1965-02-22,1,0.0
53,1965-02-23,1,0.0
54,1965-02-24,1,0.0
55,1965-02-25,1,3.0
56,1965-02-26,1,25.0
57,1965-02-27,1,0.0
58,1965-02-28,1,0.0
59,1965-01-01,1,0.0
60,1965-01-02,1,0.0
61,1965-01-03,1,0.0
62,1965-01-04,1,0.0
63,1965-01-05,1,10.0
64,1965-01-06,1,0.0
65,1965-01-07,1,22.0
66,1965-01-08,1,39.0
67,1965-01-09,1,0.0
68,1965-01-10,1,0.0
69,1965-01-11,1,0.0
70,1965-01-12,1,0.0
71,1965-01-13,1,0.0
72,1965-01-14,1,0.0
73,1965-01-15,1,0.0
74,1965-01-16,1,0.0
75,1965-01-17,1,0.0
76,1965-01-18,1,0.0
77,1965-01-19,1,0.0
78,1965-01-20,1,12.0
79,1965-01-21,1,0.0
80,1965-01-22,1,18.0
81,1965-01-23,1,0.0
82,1965-01-24,1,0.0
83,1965-01-25,1,0.0
84,1965-01-26,1,0.0
85,1965-01-27,1,8.2
86,1965-01-28,1,26.0
87,1965-01-29,1,8.2
88,1965-01-30,1,21.0
89,1965-01-31,1,0.0
90,1964-12-01,1,0.0
91,1964-12-02,1,0.0
92,1964-12-03,1,0.0
93,1964-12-04,1,0.0
94,1964-12-05,1,7.2
95,1964-12-06,1,2.2
96,1964-12-07,1,0.0
97,1964-12-08,1,19.2
98,1964-12-09,1,0.0
99,1964-12-10,1,0.0
100,1964-12-11,1,0.0
101,1964-12-12,1,5.2
102,1964-12-13,1,0.0
103,1964-12-14,1,0.0
104,1964-12-15,1,0.0
105,1964-12-16,1,0.0
106,1964-12-17,1,0.0
107,1964-12-18,1,0.0
108,1964-12-19,1,20.2
109,1964-12-20,1,8.2
110,1964-12-21,1,0.0
111,1964-12-22,1,0.0
112,1964-12-23,1,0.0
113,1964-12-24,1,0.0
114,1964-12-25,1,0.0
115,1964-12-26,1,0.0
116,1964-12-27,1,0.0
117,1964-12-28,1,0.0
118,1964-12-29,1,0.0
119,1964-12-30,1,0.0
120,1964-12-31,1,8.4
121,1964-05-01,1,0.0
122,1964-05-02,1,0.0
123,1964-05-03,1,0.0
124,1964-05-04,1,0.0
125,1964-05-05,1,0.0
126,1964-05-06,1,0.0
127,1964-05-07,1,0.0
128,1964-05-08,1,0.0
129,1964-05-09,1,0.0
130,1964-05-10,1,0.0
131,1964-05-11,1,0.0
132,1964-05-12,1,0.0
133,1964-05-13,1,0.0
134,1964-05-14,1,0.0
135,1964-05-15,1,0.0
136,1964-05-16,1,0.0
137,1964-05-17,1,0.0
138,1964-05-18,1,0.0
139,1964-05-19,1,0.0
140,1964-05-20,1,0.0
141,1964-05-21,1,0.0
142,1964-05-22,1,0.0
143,1964-05-23,1,0.0
144,1964-05-24,1,0.0
145,1964-05-25,1,0.0
146,1964-05-26,1,0.0
147,1964-05-27,1,0.0
148,1964-05-28,1,0.0
149,1964-05-29,1,0.0
150,1964-05-30,1,0.0
151,1964-05-31,1,0.0
152,1964-04-01,1,0.0
153,1964-04-02,1,0.0
154,1964-04-03,1,0.0
155,1964-04-04,1,0.0
156,1964-04-05,1,0.0
157,1964-04-06,1,0.0
158,1964-04-07,1,0.0
159,1964-04-08,1,0.0
160,1964-04-09,1,0.0
161,1964-04-10,1,0.0
162,1964-04-11,1,0.0
163,1964-04-12,1,0.0
164,1964-04-13,1,0.0
165,1964-04-14,1,0.0
166,1964-04-15,1,0.0
167,1964-04-16,1,0.0
168,1964-04-17,1,0.0
169,1964-04-18,1,0.0
170,1964-04-19,1,0.0
171,1964-04-20,1,0.0
172,1964-04-21,1,0.0
