,Date,Consistence_2_1443018,Data2_1443018
0,1985-12-01,1,15.3
1,1985-12-02,1,48.2
2,1985-12-03,1,130.5
3,1985-12-04,1,22.5
4,1985-12-05,1,6.5
5,1985-12-06,1,6.3
6,1985-12-07,1,0.0
7,1985-12-08,1,0.0
8,1985-12-09,1,0.0
9,1985-12-10,1,6.8
10,1985-12-11,1,3.3
11,1985-12-12,1,0.0
12,1985-12-13,1,2.4
13,1985-12-14,1,0.0
14,1985-12-15,1,0.0
15,1985-12-16,1,0.0
16,1985-12-17,1,0.0
17,1985-12-18,1,15.5
18,1985-12-19,1,0.0
19,1985-12-20,1,0.0
20,1985-12-21,1,0.0
21,1985-12-22,1,0.0
22,1985-12-23,1,55.8
23,1985-12-24,1,49.2
24,1985-12-25,1,10.2
25,1985-12-26,1,32.2
26,1985-12-27,1,14.3
27,1985-12-28,1,37.7
28,1985-12-29,1,16.2
29,1985-12-30,1,0.6
30,1985-12-31,1,10.0
31,1985-11-01,1,0.0
32,1985-11-02,1,0.0
33,1985-11-03,1,0.0
34,1985-11-04,1,0.7
35,1985-11-05,1,10.3
36,1985-11-06,1,1.8
37,1985-11-07,1,0.7
38,1985-11-08,1,77.8
39,1985-11-09,1,2.9
40,1985-11-10,1,3.9
41,1985-11-11,1,1.6
42,1985-11-12,1,0.0
43,1985-11-13,1,0.0
44,1985-11-14,1,0.0
45,1985-11-15,1,0.0
46,1985-11-16,1,0.0
47,1985-11-17,1,0.0
48,1985-11-18,1,0.0
49,1985-11-19,1,0.0
50,1985-11-20,1,0.0
51,1985-11-21,1,0.0
52,1985-11-22,1,0.5
53,1985-11-23,1,0.0
54,1985-11-24,1,0.0
55,1985-11-25,1,1.7
56,1985-11-26,1,0.0
57,1985-11-27,1,0.0
58,1985-11-28,1,17.4
59,1985-11-29,1,19.0
60,1985-11-30,1,22.4
61,1985-10-01,1,49.8
62,1985-10-02,1,8.3
63,1985-10-03,1,0.0
64,1985-10-04,1,0.0
65,1985-10-05,1,0.0
66,1985-10-06,1,0.0
67,1985-10-07,1,0.0
68,1985-10-08,1,0.0
69,1985-10-09,1,0.0
70,1985-10-10,1,0.0
71,1985-10-11,1,0.0
72,1985-10-12,1,0.0
73,1985-10-13,1,0.0
74,1985-10-14,1,0.0
75,1985-10-15,1,0.0
76,1985-10-16,1,0.0
77,1985-10-17,1,0.0
78,1985-10-18,1,0.0
79,1985-10-19,1,0.0
80,1985-10-20,1,0.0
81,1985-10-21,1,0.0
82,1985-10-22,1,10.3
83,1985-10-23,1,0.0
84,1985-10-24,1,0.0
85,1985-10-25,1,13.3
86,1985-10-26,1,1.2
87,1985-10-27,1,0.0
88,1985-10-28,1,41.7
89,1985-10-29,1,10.2
90,1985-10-30,1,0.2
91,1985-10-31,1,0.0
92,1985-09-01,1,0.0
93,1985-09-02,1,0.0
94,1985-09-03,1,0.0
95,1985-09-04,1,0.0
96,1985-09-05,1,0.0
97,1985-09-06,1,0.0
98,1985-09-07,1,0.0
99,1985-09-08,1,0.0
100,1985-09-09,1,0.0
101,1985-09-10,1,0.0
102,1985-09-11,1,0.0
103,1985-09-12,1,0.0
104,1985-09-13,1,0.0
105,1985-09-14,1,0.0
106,1985-09-15,1,0.0
107,1985-09-16,1,0.0
108,1985-09-17,1,0.0
109,1985-09-18,1,0.0
110,1985-09-19,1,0.0
111,1985-09-20,1,0.0
112,1985-09-21,1,0.0
113,1985-09-22,1,0.0
114,1985-09-23,1,0.0
115,1985-09-24,1,0.0
116,1985-09-25,1,0.0
117,1985-09-26,1,3.2
118,1985-09-27,1,5.4
119,1985-09-28,1,0.4
120,1985-09-29,1,13.4
121,1985-09-30,1,0.2
122,1985-08-01,1,0.0
123,1985-08-02,1,0.0
124,1985-08-03,1,0.0
125,1985-08-04,1,0.0
126,1985-08-05,1,0.0
127,1985-08-06,1,0.0
128,1985-08-07,1,0.0
129,1985-08-08,1,0.0
130,1985-08-09,1,0.0
131,1985-08-10,1,0.0
132,1985-08-11,1,0.0
133,1985-08-12,1,0.0
134,1985-08-13,1,0.0
135,1985-08-14,1,0.0
136,1985-08-15,1,0.0
137,1985-08-16,1,0.0
138,1985-08-17,1,0.0
139,1985-08-18,1,0.0
140,1985-08-19,1,0.0
141,1985-08-20,1,0.0
142,1985-08-21,1,0.0
143,1985-08-22,1,0.0
144,1985-08-23,1,0.0
145,1985-08-24,1,2.0
146,1985-08-25,1,0.0
147,1985-08-26,1,0.0
148,1985-08-27,1,0.0
149,1985-08-28,1,0.0
150,1985-08-29,1,0.0
151,1985-08-30,1,0.0
152,1985-08-31,1,0.0
153,1985-07-01,1,0.0
154,1985-07-02,1,0.0
155,1985-07-03,1,0.0
156,1985-07-04,1,0.0
157,1985-07-05,1,0.0
158,1985-07-06,1,0.0
159,1985-07-07,1,0.0
160,1985-07-08,1,0.0
161,1985-07-09,1,0.0
162,1985-07-10,1,0.0
163,1985-07-11,1,0.0
164,1985-07-12,1,0.0
165,1985-07-13,1,0.0
166,1985-07-14,1,0.0
167,1985-07-15,1,0.0
168,1985-07-16,1,0.0
169,1985-07-17,1,0.0
170,1985-07-18,1,0.0
171,1985-07-19,1,0.0
172,1985-07-20,1,0.0
173,1985-07-21,1,0.0
174,1985-07-22,1,0.0
175,1985-07-23,1,0.0
176,1985-07-24,1,0.0
177,1985-07-25,1,0.0
178,1985-07-26,1,0.0
179,1985-07-27,1,0.0
180,1985-07-28,1,0.0
181,1985-07-29,1,0.0
182,1985-07-30,1,0.0
183,1985-07-31,1,0.0
184,1985-06-01,1,0.0
185,1985-06-02,1,0.0
186,1985-06-03,1,0.0
187,1985-06-04,1,0.0
188,1985-06-05,1,0.0
189,1985-06-06,1,0.0
190,1985-06-07,1,0.0
191,1985-06-08,1,0.0
192,1985-06-09,1,0.0
193,1985-06-10,1,0.0
194,1985-06-11,1,0.0
195,1985-06-12,1,0.0
196,1985-06-13,1,0.0
197,1985-06-14,1,0.0
198,1985-06-15,1,0.0
199,1985-06-16,1,0.0
200,1985-06-17,1,0.0
201,1985-06-18,1,0.0
202,1985-06-19,1,0.0
203,1985-06-20,1,0.0
204,1985-06-21,1,0.0
205,1985-06-22,1,0.0
206,1985-06-23,1,0.0
207,1985-06-24,1,0.0
208,1985-06-25,1,0.0
209,1985-06-26,1,0.0
210,1985-06-27,1,0.0
211,1985-06-28,1,0.0
212,1985-06-29,1,0.0
213,1985-06-30,1,0.0
214,1985-05-01,1,0.0
215,1985-05-02,1,0.0
216,1985-05-03,1,0.0
217,1985-05-04,1,0.0
218,1985-05-05,1,0.0
219,1985-05-06,1,0.0
220,1985-05-07,1,0.0
221,1985-05-08,1,0.0
222,1985-05-09,1,0.0
223,1985-05-10,1,0.0
224,1985-05-11,1,0.0
225,1985-05-12,1,0.0
226,1985-05-13,1,0.0
227,1985-05-14,1,0.0
228,1985-05-15,1,0.0
229,1985-05-16,1,0.0
230,1985-05-17,1,0.0
231,1985-05-18,1,0.0
232,1985-05-19,1,0.0
233,1985-05-20,1,0.0
234,1985-05-21,1,0.0
235,1985-05-22,1,0.0
236,1985-05-23,1,0.0
237,1985-05-24,1,0.0
238,1985-05-25,1,0.0
239,1985-05-26,1,0.0
240,1985-05-27,1,0.0
241,1985-05-28,1,0.0
242,1985-05-29,1,0.0
243,1985-05-30,1,0.0
244,1985-05-31,1,0.0
245,1985-04-01,1,0.0
246,1985-04-02,1,0.0
247,1985-04-03,1,0.0
248,1985-04-04,1,0.0
249,1985-04-05,1,0.0
250,1985-04-06,1,0.0
251,1985-04-07,1,0.0
252,1985-04-08,1,0.0
253,1985-04-09,1,0.0
254,1985-04-10,1,0.0
255,1985-04-11,1,0.0
256,1985-04-12,1,0.0
257,1985-04-13,1,0.0
258,1985-04-14,1,0.0
259,1985-04-15,1,0.0
260,1985-04-16,1,0.0
261,1985-04-17,1,0.0
262,1985-04-18,1,0.0
263,1985-04-19,1,0.0
264,1985-04-20,1,0.0
265,1985-04-21,1,0.0
266,1985-04-22,1,0.7
267,1985-04-23,1,0.0
268,1985-04-24,1,0.0
269,1985-04-25,1,0.0
270,1985-04-26,1,0.0
271,1985-04-27,1,0.0
272,1985-04-28,1,0.0
273,1985-04-29,1,0.0
274,1985-04-30,1,0.0
275,1985-03-01,1,0.0
276,1985-03-02,1,0.0
277,1985-03-03,1,0.0
278,1985-03-04,1,0.0
279,1985-03-05,1,0.0
280,1985-03-06,1,0.0
281,1985-03-07,1,0.0
282,1985-03-08,1,0.0
283,1985-03-09,1,0.0
284,1985-03-10,1,0.0
285,1985-03-11,1,0.0
286,1985-03-12,1,0.4
287,1985-03-13,1,8.6
288,1985-03-14,1,1.0
