,Date,Consistence_2_1245030,Data2_1245030
0,2014-04-01,1,1.2
1,2014-04-02,1,0.4
2,2014-04-03,1,0.0
3,2014-04-04,1,3.0
4,2014-04-05,1,3.2
5,2014-04-06,1,17.8
6,2014-04-07,1,5.0
7,2014-04-08,1,6.0
8,2014-04-09,1,6.2
9,2014-04-10,1,2.8
10,2014-04-11,1,0.2
11,2014-04-12,1,1.0
12,2014-04-13,1,0.0
13,2014-04-14,1,0.0
14,2014-04-15,1,3.6
15,2014-04-16,1,1.6
16,2014-04-17,1,0.0
17,2014-04-18,1,0.0
18,2014-04-19,1,0.2
19,2014-04-20,1,0.0
20,2014-04-21,1,0.0
21,2014-04-22,1,0.0
22,2014-04-23,1,0.0
23,2014-04-24,1,0.0
24,2014-04-25,1,0.0
25,2014-04-26,1,0.0
26,2014-04-27,1,0.0
27,2014-04-28,1,0.0
28,2014-04-29,1,0.0
29,2014-04-30,1,
30,2014-03-01,1,6.4
31,2014-03-02,1,11.6
32,2014-03-03,1,18.6
33,2014-03-04,1,31.0
34,2014-03-05,1,5.6
35,2014-03-06,1,0.2
36,2014-03-07,1,0.0
37,2014-03-08,1,0.6
38,2014-03-09,1,8.0
39,2014-03-10,1,0.8
40,2014-03-11,1,7.8
41,2014-03-12,1,0.0
42,2014-03-13,1,0.0
43,2014-03-14,1,0.0
44,2014-03-15,1,0.0
45,2014-03-16,1,0.0
46,2014-03-17,1,0.0
47,2014-03-18,1,0.0
48,2014-03-19,1,0.4
49,2014-03-20,1,0.2
50,2014-03-21,1,0.2
51,2014-03-22,1,0.6
52,2014-03-23,1,0.2
53,2014-03-24,1,56.6
54,2014-03-25,1,0.0
55,2014-03-26,1,23.8
56,2014-03-27,1,16.6
57,2014-03-28,1,16.2
58,2014-03-29,1,10.0
59,2014-03-30,1,6.2
60,2014-03-31,1,0.2
61,2014-02-01,1,0.0
62,2014-02-02,1,0.0
63,2014-02-03,1,0.0
64,2014-02-04,1,0.0
65,2014-02-05,1,0.0
66,2014-02-06,1,0.0
67,2014-02-07,1,0.0
68,2014-02-08,1,0.0
69,2014-02-09,1,0.0
70,2014-02-10,1,0.0
71,2014-02-11,1,0.0
72,2014-02-12,1,0.0
73,2014-02-13,1,0.0
74,2014-02-14,1,0.0
75,2014-02-15,1,2.6
76,2014-02-16,1,3.4
77,2014-02-17,1,12.4
78,2014-02-18,1,14.0
79,2014-02-19,1,1.2
80,2014-02-20,1,3.4
81,2014-02-21,1,0.4
82,2014-02-22,1,0.2
83,2014-02-23,1,0.0
84,2014-02-24,1,0.0
85,2014-02-25,1,0.0
86,2014-02-26,1,0.0
87,2014-02-27,1,0.2
88,2014-02-28,1,24.4
89,2014-01-01,1,0.0
90,2014-01-02,1,0.0
91,2014-01-03,1,0.0
92,2014-01-04,1,0.0
93,2014-01-05,1,0.4
94,2014-01-06,1,0.2
95,2014-01-07,1,0.0
96,2014-01-08,1,0.0
97,2014-01-09,1,0.0
98,2014-01-10,1,0.0
99,2014-01-11,1,4.8
100,2014-01-12,1,0.2
101,2014-01-13,1,0.0
102,2014-01-14,1,0.0
103,2014-01-15,1,0.0
104,2014-01-16,1,0.0
105,2014-01-17,1,0.0
106,2014-01-18,1,17.6
107,2014-01-19,1,0.2
108,2014-01-20,1,0.0
109,2014-01-21,1,0.0
110,2014-01-22,1,0.0
111,2014-01-23,1,0.0
112,2014-01-24,1,0.0
113,2014-01-25,1,0.2
114,2014-01-26,1,7.6
115,2014-01-27,1,1.8
116,2014-01-28,1,0.2
117,2014-01-29,1,0.0
118,2014-01-30,1,0.0
119,2014-01-31,1,0.0
120,2013-12-01,1,0.0
121,2013-12-02,1,0.0
122,2013-12-03,1,0.0
123,2013-12-04,1,0.0
124,2013-12-05,1,1.4
125,2013-12-06,1,1.4
126,2013-12-07,1,0.4
127,2013-12-08,1,0.2
128,2013-12-09,1,4.0
129,2013-12-10,1,6.8
130,2013-12-11,1,0.2
131,2013-12-12,1,0.8
132,2013-12-13,1,2.6
133,2013-12-14,1,30.4
134,2013-12-15,1,61.2
135,2013-12-16,1,9.2
136,2013-12-17,1,39.6
137,2013-12-18,1,13.0
138,2013-12-19,1,20.6
139,2013-12-20,1,3.0
140,2013-12-21,1,63.4
141,2013-12-22,1,35.4
142,2013-12-23,1,19.2
143,2013-12-24,1,15.2
144,2013-12-25,1,48.2
145,2013-12-26,1,37.8
146,2013-12-27,1,8.6
147,2013-12-28,1,14.6
148,2013-12-29,1,0.0
149,2013-12-30,1,0.0
150,2013-12-31,1,0.0
151,2013-11-01,1,0.2
152,2013-11-02,1,0.0
153,2013-11-03,1,0.0
154,2013-11-04,1,0.0
155,2013-11-05,1,13.4
156,2013-11-06,1,29.8
157,2013-11-07,1,2.6
158,2013-11-08,1,0.2
159,2013-11-09,1,0.2
160,2013-11-10,1,0.0
161,2013-11-11,1,0.0
162,2013-11-12,1,4.8
163,2013-11-13,1,0.2
164,2013-11-14,1,0.0
165,2013-11-15,1,0.0
166,2013-11-16,1,0.0
167,2013-11-17,1,0.0
168,2013-11-18,1,0.0
169,2013-11-19,1,0.0
170,2013-11-20,1,0.0
171,2013-11-21,1,0.0
172,2013-11-22,1,0.0
173,2013-11-23,1,0.0
174,2013-11-24,1,7.4
175,2013-11-25,1,16.4
176,2013-11-26,1,2.0
177,2013-11-27,1,7.8
178,2013-11-28,1,21.2
179,2013-11-29,1,7.0
180,2013-11-30,1,0.0
181,2013-10-01,1,
182,2013-10-02,1,
183,2013-10-03,1,
184,2013-10-04,1,
185,2013-10-05,1,
186,2013-10-06,1,
187,2013-10-07,1,
188,2013-10-08,1,
189,2013-10-09,1,0.0
190,2013-10-10,1,0.0
191,2013-10-11,1,0.0
192,2013-10-12,1,0.0
193,2013-10-13,1,0.0
194,2013-10-14,1,0.0
195,2013-10-15,1,0.0
196,2013-10-16,1,0.0
197,2013-10-17,1,0.0
198,2013-10-18,1,1.8
199,2013-10-19,1,0.0
200,2013-10-20,1,35.0
201,2013-10-21,1,0.2
202,2013-10-22,1,0.0
203,2013-10-23,1,0.0
204,2013-10-24,1,0.0
205,2013-10-25,1,0.0
206,2013-10-26,1,0.0
207,2013-10-27,1,0.0
208,2013-10-28,1,0.0
209,2013-10-29,1,1.4
210,2013-10-30,1,0.0
211,2013-10-31,1,1.6
212,2012-06-01,1,0.0
213,2012-06-02,1,0.0
214,2012-06-03,1,0.0
215,2012-06-04,1,0.0
216,2012-06-05,1,0.0
217,2012-06-06,1,0.0
218,2012-06-07,1,0.0
219,2012-06-08,1,0.0
220,2012-06-09,1,0.0
221,2012-06-10,1,0.0
222,2012-06-11,1,0.0
223,2012-06-12,1,0.0
224,2012-06-13,1,0.0
225,2012-06-14,1,0.0
226,2012-06-15,1,0.0
227,2012-06-16,1,0.0
228,2012-06-17,1,0.0
229,2012-06-18,1,0.0
230,2012-06-19,1,0.0
231,2012-06-20,1,0.0
232,2012-06-21,1,0.0
233,2012-06-22,1,0.0
234,2012-06-23,1,
235,2012-06-24,1,
236,2012-06-25,1,
237,2012-06-26,1,
238,2012-06-27,1,
239,2012-06-28,1,
240,2012-06-29,1,
241,2012-06-30,1,
242,2012-05-01,1,0.0
243,2012-05-02,1,0.0
