,Date,Consistence_3_45725000,Data3_45725000
0,1989-12-01,2,3.448
1,1989-12-02,2,5.616
2,1989-12-03,2,8.118
3,1989-12-04,2,6.27
4,1989-12-05,2,5.18
5,1989-12-06,2,6.498
6,1989-12-07,2,6.384
7,1989-12-08,2,6.612
8,1989-12-09,2,7.182
9,1989-12-10,2,7.182
10,1989-12-11,2,8.236
11,1989-12-12,2,9.437
12,1989-12-13,2,12.17
13,1989-12-14,2,16.02
14,1989-12-15,2,16.56
15,1989-12-16,2,14.12
16,1989-12-17,2,18.58
17,1989-12-18,2,18.16
18,1989-12-19,2,18.58
19,1989-12-20,2,17.6
20,1989-12-21,2,15.74
21,1989-12-22,2,21.75
22,1989-12-23,2,15.88
23,1989-12-24,2,13.34
24,1989-12-25,2,12.82
25,1989-12-26,2,12.95
26,1989-12-27,2,15.74
27,1989-12-28,2,15.6
28,1989-12-29,2,12.95
29,1989-12-30,2,11.65
30,1989-12-31,2,11.91
31,1989-11-01,2,1.704
32,1989-11-02,2,1.704
33,1989-11-03,2,1.56
34,1989-11-04,2,2.28
35,1989-11-05,2,2.856
36,1989-11-06,2,3.224
37,1989-11-07,2,3.672
38,1989-11-08,2,3.448
39,1989-11-09,2,4.008
40,1989-11-10,2,3.336
41,1989-11-11,2,3.672
42,1989-11-12,2,5.18
43,1989-11-13,2,8.236
44,1989-11-14,2,5.725
45,1989-11-15,2,4.756
46,1989-11-16,2,4.65
47,1989-11-17,2,6.498
48,1989-11-18,2,6.384
49,1989-11-19,2,5.289
50,1989-11-20,2,4.862
51,1989-11-21,2,4.12
52,1989-11-22,2,3.672
53,1989-11-23,2,3.336
54,1989-11-24,2,3.112
55,1989-11-25,2,3.448
56,1989-11-26,2,3.224
57,1989-11-27,2,3.224
58,1989-11-28,2,3.112
59,1989-11-29,2,3.0
60,1989-11-30,2,3.784
61,1989-10-01,2,1.56
62,1989-10-02,2,1.56
63,1989-10-03,2,1.56
64,1989-10-04,2,1.56
65,1989-10-05,2,1.56
66,1989-10-06,2,1.56
67,1989-10-07,2,1.56
68,1989-10-08,2,1.4482
69,1989-10-09,2,1.4482
70,1989-10-10,2,1.4482
71,1989-10-11,2,1.56
72,1989-10-12,2,1.56
73,1989-10-13,2,1.56
74,1989-10-14,2,1.848
