,Date,Consistence_3_45740000,Data3_45740000
0,1973-12-01,2,58.7
1,1973-12-02,2,59.5
2,1973-12-03,2,60.9
3,1973-12-04,2,62.4
4,1973-12-05,2,62.4
5,1973-12-06,2,63.9
6,1973-12-07,2,59.5
7,1973-12-08,2,55.9
8,1973-12-09,2,53.7
9,1973-12-10,2,53.7
10,1973-12-11,2,52.3
11,1973-12-12,2,51.7
12,1973-12-13,2,50.3
13,1973-12-14,2,48.3
14,1973-12-15,2,47.6
15,1973-12-16,2,46.9
16,1973-12-17,2,47.6
17,1973-12-18,2,47.6
18,1973-12-19,2,45.0
19,1973-12-20,2,43.7
20,1973-12-21,2,44.3
21,1973-12-22,2,44.3
22,1973-12-23,2,44.3
23,1973-12-24,2,46.3
24,1973-12-25,2,46.3
25,1973-12-26,2,46.9
26,1973-12-27,2,50.3
27,1973-12-28,2,53.0
28,1973-12-29,2,53.0
29,1973-12-30,2,51.0
30,1973-12-31,2,51.0
31,1973-11-01,2,58.7
32,1973-11-02,2,55.9
33,1973-11-03,2,53.7
34,1973-11-04,2,52.3
35,1973-11-05,2,51.0
36,1973-11-06,2,51.0
37,1973-11-07,2,51.0
38,1973-11-08,2,49.6
39,1973-11-09,2,51.0
40,1973-11-10,2,51.0
41,1973-11-11,2,50.3
42,1973-11-12,2,45.0
43,1973-11-13,2,42.4
44,1973-11-14,2,39.9
45,1973-11-15,2,38.7
46,1973-11-16,2,38.1
47,1973-11-17,2,37.5
48,1973-11-18,2,36.9
49,1973-11-19,2,36.3
50,1973-11-20,2,38.1
51,1973-11-21,2,40.5
52,1973-11-22,2,41.8
53,1973-11-23,2,41.8
54,1973-11-24,2,43.1
55,1973-11-25,2,44.3
56,1973-11-26,2,43.7
57,1973-11-27,2,45.0
58,1973-11-28,2,47.6
59,1973-11-29,2,47.6
60,1973-11-30,2,53.0
61,1973-10-01,2,39.3
62,1973-10-02,2,46.3
63,1973-10-03,2,50.3
64,1973-10-04,2,45.6
65,1973-10-05,2,42.4
66,1973-10-06,2,39.3
67,1973-10-07,2,37.5
68,1973-10-08,2,36.9
69,1973-10-09,2,36.3
70,1973-10-10,2,35.7
71,1973-10-11,2,34.5
72,1973-10-12,2,33.9
73,1973-10-13,2,33.9
74,1973-10-14,2,33.9
75,1973-10-15,2,41.8
76,1973-10-16,2,46.3
77,1973-10-17,2,53.7
78,1973-10-18,2,51.7
79,1973-10-19,2,50.3
80,1973-10-20,2,53.0
81,1973-10-21,2,51.7
82,1973-10-22,2,51.0
83,1973-10-23,2,50.3
84,1973-10-24,2,49.6
85,1973-10-25,2,48.3
86,1973-10-26,2,48.9
87,1973-10-27,2,48.9
88,1973-10-28,2,49.6
89,1973-10-29,2,48.3
90,1973-10-30,2,51.7
91,1973-10-31,2,55.9
92,1973-09-01,2,27.6
93,1973-09-02,2,27.6
94,1973-09-03,2,27.6
95,1973-09-04,2,27.6
96,1973-09-05,2,27.0
97,1973-09-06,2,27.0
98,1973-09-07,2,27.0
99,1973-09-08,2,27.0
100,1973-09-09,2,27.0
101,1973-09-10,2,27.0
102,1973-09-11,2,27.0
103,1973-09-12,2,27.0
104,1973-09-13,2,27.0
105,1973-09-14,2,27.0
106,1973-09-15,2,27.0
107,1973-09-16,2,27.0
108,1973-09-17,2,27.0
109,1973-09-18,2,27.0
110,1973-09-19,2,26.5
111,1973-09-20,2,26.5
112,1973-09-21,2,26.5
113,1973-09-22,2,26.5
114,1973-09-23,2,26.5
115,1973-09-24,2,26.5
116,1973-09-25,2,26.5
117,1973-09-26,2,26.5
118,1973-09-27,2,27.0
119,1973-09-28,2,27.0
120,1973-09-29,2,27.6
121,1973-09-30,2,28.7
122,1973-08-01,2,28.1
123,1973-08-02,2,28.1
124,1973-08-03,2,28.1
125,1973-08-04,2,28.1
126,1973-08-05,2,28.1
127,1973-08-06,2,28.1
128,1973-08-07,2,28.1
129,1973-08-08,2,28.1
130,1973-08-09,2,28.1
131,1973-08-10,2,27.6
132,1973-08-11,2,27.6
133,1973-08-12,2,27.6
134,1973-08-13,2,27.6
135,1973-08-14,2,27.6
136,1973-08-15,2,27.6
137,1973-08-16,2,27.6
138,1973-08-17,2,27.6
139,1973-08-18,2,27.6
140,1973-08-19,2,27.6
141,1973-08-20,2,27.6
142,1973-08-21,2,27.6
143,1973-08-22,2,27.6
144,1973-08-23,2,27.6
145,1973-08-24,2,27.6
146,1973-08-25,2,27.6
147,1973-08-26,2,27.6
148,1973-08-27,2,27.6
149,1973-08-28,2,27.6
150,1973-08-29,2,27.6
151,1973-08-30,2,27.6
152,1973-08-31,2,27.6
153,1973-07-01,2,29.3
154,1973-07-02,2,29.3
155,1973-07-03,2,29.3
156,1973-07-04,2,29.3
157,1973-07-05,2,29.3
158,1973-07-06,2,29.3
159,1973-07-07,2,29.3
160,1973-07-08,2,29.3
161,1973-07-09,2,29.3
162,1973-07-10,2,28.7
163,1973-07-11,2,28.7
164,1973-07-12,2,28.7
165,1973-07-13,2,28.7
166,1973-07-14,2,28.7
167,1973-07-15,2,28.7
168,1973-07-16,2,28.7
169,1973-07-17,2,28.7
170,1973-07-18,2,28.7
171,1973-07-19,2,28.7
172,1973-07-20,2,28.7
173,1973-07-21,2,28.1
174,1973-07-22,2,28.1
175,1973-07-23,2,28.1
176,1973-07-24,2,28.1
177,1973-07-25,2,28.1
178,1973-07-26,2,28.1
179,1973-07-27,2,28.1
180,1973-07-28,2,28.1
181,1973-07-29,2,28.1
182,1973-07-30,2,28.1
183,1973-07-31,2,28.1
184,1973-06-01,2,30.4
185,1973-06-02,2,30.4
186,1973-06-03,2,30.4
187,1973-06-04,2,30.4
188,1973-06-05,2,29.9
189,1973-06-06,2,29.9
190,1973-06-07,2,29.9
191,1973-06-08,2,29.9
192,1973-06-09,2,29.9
193,1973-06-10,2,29.9
194,1973-06-11,2,29.9
195,1973-06-12,2,29.9
196,1973-06-13,2,29.9
197,1973-06-14,2,29.9
198,1973-06-15,2,29.9
199,1973-06-16,2,29.3
200,1973-06-17,2,29.3
201,1973-06-18,2,29.3
202,1973-06-19,2,29.3
203,1973-06-20,2,29.3
204,1973-06-21,2,29.3
205,1973-06-22,2,29.3
206,1973-06-23,2,29.3
207,1973-06-24,2,29.3
208,1973-06-25,2,29.3
209,1973-06-26,2,29.3
210,1973-06-27,2,29.3
211,1973-06-28,2,29.3
212,1973-06-29,2,29.3
213,1973-06-30,2,29.3
214,1973-05-01,2,33.3
215,1973-05-02,2,32.8
216,1973-05-03,2,32.8
217,1973-05-04,2,32.2
218,1973-05-05,2,32.2
