lon;lat;1981-01-01 00:00:00;1981-02-01 00:00:00;1981-03-01 00:00:00;1981-04-01 00:00:00;1981-05-01 00:00:00;1981-06-01 00:00:00;1981-07-01 00:00:00;1981-08-01 00:00:00;1981-09-01 00:00:00;1981-10-01 00:00:00;1981-11-01 00:00:00;1981-12-01 00:00:00;1982-01-01 00:00:00;1982-02-01 00:00:00;1982-03-01 00:00:00;1982-04-01 00:00:00;1982-05-01 00:00:00;1982-06-01 00:00:00;1982-07-01 00:00:00;1982-08-01 00:00:00;1982-09-01 00:00:00;1982-10-01 00:00:00;1982-11-01 00:00:00;1982-12-01 00:00:00;1983-01-01 00:00:00;1983-02-01 00:00:00;1983-03-01 00:00:00;1983-04-01 00:00:00;1983-05-01 00:00:00;1983-06-01 00:00:00;1983-07-01 00:00:00;1983-08-01 00:00:00;1983-09-01 00:00:00;1983-10-01 00:00:00;1983-11-01 00:00:00;1983-12-01 00:00:00;1984-01-01 00:00:00;1984-02-01 00:00:00;1984-03-01 00:00:00;1984-04-01 00:00:00;1984-05-01 00:00:00;1984-06-01 00:00:00;1984-07-01 00:00:00;1984-08-01 00:00:00;1984-09-01 00:00:00;1984-10-01 00:00:00;1984-11-01 00:00:00;1984-12-01 00:00:00;1985-01-01 00:00:00;1985-02-01 00:00:00;1985-03-01 00:00:00;1985-04-01 00:00:00;1985-05-01 00:00:00;1985-06-01 00:00:00;1985-07-01 00:00:00;1985-08-01 00:00:00;1985-09-01 00:00:00;1985-10-01 00:00:00;1985-11-01 00:00:00;1985-12-01 00:00:00;1986-01-01 00:00:00;1986-02-01 00:00:00;1986-03-01 00:00:00;1986-04-01 00:00:00;1986-05-01 00:00:00;1986-06-01 00:00:00;1986-07-01 00:00:00;1986-08-01 00:00:00;1986-09-01 00:00:00;1986-10-01 00:00:00;1986-11-01 00:00:00;1986-12-01 00:00:00;1987-01-01 00:00:00;1987-02-01 00:00:00;1987-03-01 00:00:00;1987-04-01 00:00:00;1987-05-01 00:00:00;1987-06-01 00:00:00;1987-07-01 00:00:00;1987-08-01 00:00:00;1987-09-01 00:00:00;1987-10-01 00:00:00;1987-11-01 00:00:00;1987-12-01 00:00:00;1988-01-01 00:00:00;1988-02-01 00:00:00;1988-03-01 00:00:00;1988-04-01 00:00:00;1988-05-01 00:00:00;1988-06-01 00:00:00;1988-07-01 00:00:00;1988-08-01 00:00:00;1988-09-01 00:00:00;1988-10-01 00:00:00;1988-11-01 00:00:00;1988-12-01 00:00:00;1989-01-01 00:00:00;1989-02-01 00:00:00;1989-03-01 00:00:00;1989-04-01 00:00:00;1989-05-01 00:00:00;1989-06-01 00:00:00;1989-07-01 00:00:00;1989-08-01 00:00:00;1989-09-01 00:00:00;1989-10-01 00:00:00;1989-11-01 00:00:00;1989-12-01 00:00:00;1990-01-01 00:00:00;1990-02-01 00:00:00;1990-03-01 00:00:00;1990-04-01 00:00:00;1990-05-01 00:00:00;1990-06-01 00:00:00;1990-07-01 00:00:00;1990-08-01 00:00:00;1990-09-01 00:00:00;1990-10-01 00:00:00;1990-11-01 00:00:00;1990-12-01 00:00:00
-46.5;-10.5;193.15;50.32;302.67;87.87;4.5;28.25;0.76;0.59;3.27;120.31;233.15;134.33;363.15;130.85;183.64;74.41;5.94;0.03;0.45;3.34;59.18;87.38;105.78;202.51;324.36;186.0;220.44;14.91;3.62;0.02;0.43;0.88;19.26;64.52;152.82;256.97;159.95;141.39;210.68;129.62;2.65;0.33;0.32;13.41;37.8;130.83;80.63;147.88;404.81;160.79;177.74;139.74;37.9;0.57;1.56;2.41;55.96;192.88;236.44;358.68;219.37;154.8;182.77;158.75;10.78;0.26;0.68;1.78;8.95;147.22;110.58;176.05;142.22;130.43;295.02;108.89;23.85;0.05;0.05;0.94;21.02;61.1;238.02;189.17;222.15;215.79;184.63;117.99;7.66;3.08;0.05;0.06;8.16;100.53;137.11;242.5;151.15;174.21;245.96;154.81;51.39;10.14;10.96;1.17;39.38;74.84;188.16;554.6;117.55;272.09;147.5;45.65;38.65;2.23;2.02;6.39;32.09;75.81;70.86;229.47
-45.5;-10.5;135.31;30.88;307.67;94.25;0.37;5.46;0.09;3.15;0.99;81.04;167.2;106.62;301.04;91.87;99.5;86.09;0.74;0.26;0.09;1.06;23.08;58.89;65.55;113.92;282.09;150.68;185.85;21.89;0.47;0.19;0.09;0.02;0.45;67.01;177.74;179.7;63.15;90.3;154.66;135.09;5.38;0.23;0.35;13.98;11.63;96.83;70.32;74.4;397.23;111.42;81.21;94.71;21.43;2.98;2.48;1.9;40.84;70.75;128.96;366.97;215.28;109.77;124.55;104.15;8.08;0.17;1.53;0.02;7.99;118.26;75.84;128.8;81.33;70.75;221.89;69.79;23.63;0.15;0.14;0.0;4.6;33.02;250.45;118.04;117.47;202.77;155.55;77.29;6.12;0.69;0.14;0.0;3.18;70.51;143.66;244.44;59.72;124.05;217.49;110.34;45.75;3.64;1.23;0.46;16.65;46.83;196.59;389.78;48.03;208.92;53.16;53.51;5.47;1.86;3.65;0.33;19.0;67.81;54.05;100.41
-44.5;-10.5;125.84;35.53;294.03;62.22;1.03;0.93;0.13;2.04;1.83;48.95;166.32;108.1;296.51;82.57;125.53;64.71;0.88;0.0;0.47;0.64;9.27;39.79;23.94;128.01;210.28;131.95;176.22;39.61;0.32;0.0;0.04;0.18;5.98;24.32;202.75;148.23;79.81;74.08;171.77;86.36;3.04;0.16;0.05;1.96;25.74;66.77;57.26;100.8;445.84;128.64;111.43;112.33;53.87;5.87;1.3;0.14;28.74;139.46;119.25;383.38;151.13;104.86;121.95;107.75;7.14;0.0;0.24;3.96;1.03;84.96;59.27;113.18;69.35;35.37;168.45;91.18;9.44;0.0;0.04;0.09;2.43;30.23;201.93;127.72;140.52;194.62;148.22;49.84;0.76;0.0;0.04;0.08;2.42;45.36;80.85;239.03;55.11;126.99;218.85;82.74;29.72;4.85;2.49;1.09;16.97;27.72;187.51;390.72;56.51;134.47;50.62;27.43;3.57;0.0;0.21;0.09;2.95;53.48;73.29;132.9
-46.5;-11.5;256.29;44.79;359.53;102.25;1.35;21.5;2.64;2.98;13.25;201.57;341.57;141.37;432.92;89.69;205.41;61.16;10.91;0.02;0.0;7.15;31.04;87.45;93.79;188.5;359.84;277.31;270.12;18.86;0.0;0.02;0.0;2.87;27.66;67.6;184.6;308.52;106.39;192.34;255.5;118.46;2.47;0.02;0.09;21.78;35.89;123.07;96.25;176.6;484.4;202.05;212.71;229.87;25.6;0.37;1.75;0.76;34.28;212.92;252.68;401.15;281.03;152.25;181.24;137.64;9.42;0.04;0.49;9.54;7.96;174.94;140.62;287.9;187.03;199.09;379.42;106.76;13.17;0.04;0.01;2.19;20.25;85.46;236.59;428.43;240.65;349.59;305.74;165.28;4.76;0.3;0.01;0.0;14.82;87.74;161.18;223.35;182.29;215.99;273.73;115.99;23.47;13.01;6.16;0.21;54.97;143.72;216.18;525.31;92.92;252.36;87.23;34.71;50.24;1.42;4.88;15.93;34.78;66.08;119.86;232.61
-45.5;-11.5;123.16;15.9;326.43;95.05;7.34;7.07;2.32;4.08;0.44;137.75;239.73;59.0;267.64;61.41;118.2;77.71;6.29;0.09;0.03;0.27;29.18;74.97;75.1;136.04;265.31;143.03;162.19;23.51;1.03;0.09;0.03;0.0;2.23;56.83;164.54;191.77;91.25;101.75;176.14;115.09;10.94;0.25;0.87;30.8;16.67;104.39;73.0;75.8;429.5;108.95;140.31;62.21;16.51;3.55;1.69;1.66;33.0;108.61;183.8;394.41;156.61;92.23;111.01;72.48;2.91;0.14;1.01;11.22;4.67;119.12;54.46;181.81;85.36;54.16;217.93;109.4;14.2;0.14;0.05;0.0;16.84;48.54;274.09;182.25;115.35;173.5;232.43;74.09;7.43;0.58;0.04;0.0;11.2;103.12;146.44;274.0;61.17;152.37;151.9;76.18;28.81;11.1;16.42;2.02;25.49;51.63;324.29;513.54;43.3;257.79;48.0;34.89;15.43;2.75;9.3;4.34;33.04;69.76;98.74;131.48
-44.5;-11.5;116.44;22.29;382.49;61.84;3.2;5.96;0.2;3.0;0.95;58.26;208.15;74.94;230.7;62.75;127.69;89.99;1.71;0.02;0.08;0.5;22.66;27.8;29.89;101.72;185.71;167.98;184.7;52.97;1.7;0.08;0.0;0.03;1.93;24.81;160.39;156.06;56.91;49.06;167.64;83.25;7.45;0.71;0.38;6.34;33.61;75.34;52.67;81.01;411.25;92.28;120.67;59.63;30.71;2.27;0.36;0.19;47.62;108.9;139.62;369.06;139.36;125.09;97.22;80.71;3.26;0.08;0.2;6.93;1.8;140.51;53.43;135.35;62.16;13.15;220.25;85.2;16.07;0.0;0.04;0.04;8.88;19.16;200.73;130.32;100.65;135.11;127.1;66.23;1.02;0.0;0.02;0.04;5.47;66.09;91.15;220.92;51.89;137.87;136.26;52.05;21.24;3.58;2.58;1.04;16.01;30.22;235.17;447.02;23.19;145.3;65.98;32.42;9.18;0.31;1.74;1.21;17.39;54.17;113.47;88.33
-46.5;-12.5;340.47;30.34;378.87;77.71;7.5;43.1;2.07;10.14;4.66;220.78;358.84;162.31;457.24;88.34;254.67;70.54;3.2;0.0;0.32;3.51;45.63;92.04;103.24;171.99;437.79;259.57;312.09;12.46;0.03;0.02;0.0;0.37;23.64;78.36;252.25;364.77;183.58;141.91;307.57;113.25;9.04;0.21;0.0;11.68;34.03;127.77;115.13;191.8;544.07;192.7;197.91;207.32;15.38;0.03;0.45;0.01;44.0;224.94;220.18;471.04;314.33;174.86;199.69;145.78;29.18;0.02;2.98;5.58;5.9;147.1;106.28;286.49;140.66;162.33;400.99;139.16;9.64;0.02;0.0;0.73;25.11;62.82;287.14;577.03;313.01;437.08;373.56;153.42;7.11;2.44;0.01;0.22;8.86;135.87;170.62;386.48;131.82;213.99;208.68;85.2;23.25;10.38;10.29;1.58;43.7;153.6;300.61;591.69;107.54;208.82;110.6;31.59;86.92;0.06;3.06;25.91;35.58;80.72;133.78;172.15
-45.5;-12.5;134.82;25.05;312.83;67.65;4.78;16.42;12.24;12.76;0.02;160.18;233.92;89.9;281.96;101.49;113.52;73.44;2.01;0.05;0.08;4.54;43.34;48.52;70.81;90.41;291.7;172.87;235.07;15.65;1.38;0.13;0.03;0.44;3.28;60.87;214.75;262.01;115.42;85.96;182.02;68.79;2.96;0.14;1.02;15.65;41.89;154.22;100.93;88.86;486.92;82.71;178.11;88.08;8.75;0.39;0.1;0.01;61.21;105.81;241.76;375.52;227.99;92.5;96.6;76.07;2.35;0.01;2.96;19.64;5.16;143.08;67.55;212.41;66.02;75.13;299.23;136.51;9.23;0.01;0.3;0.0;15.39;40.45;249.94;296.03;200.34;182.77;232.0;102.48;0.38;0.25;0.03;0.17;10.18;97.4;144.06;361.85;58.04;185.8;123.75;39.5;5.23;11.44;10.95;0.75;28.96;50.32;308.8;566.98;48.98;224.7;64.19;10.33;53.39;0.29;5.0;14.65;20.64;55.61;117.77;148.72
-44.5;-12.5;103.32;18.19;331.52;53.76;2.94;9.31;1.85;4.67;0.02;86.72;212.26;90.37;195.89;101.85;131.6;74.2;1.09;0.21;0.04;3.73;20.07;35.08;37.08;91.95;208.14;175.69;146.15;25.18;2.32;0.22;0.02;0.0;5.39;55.78;187.73;184.97;70.82;47.05;193.71;58.09;6.19;0.08;0.5;34.67;31.44;128.04;71.3;83.64;406.48;80.23;137.5;44.02;17.05;1.76;0.04;0.13;61.04;120.95;173.1;335.34;172.68;93.55;72.92;86.52;3.6;0.28;3.77;20.97;6.82;126.39;44.71;151.62;56.09;36.81;245.02;108.74;28.28;0.32;0.15;0.0;11.87;42.7;207.43;206.25;132.98;135.46;200.79;84.02;0.08;0.25;0.01;2.05;7.18;101.28;89.58;281.64;77.49;124.73;103.02;44.6;9.14;9.39;0.74;1.17;20.08;39.7;231.41;472.37;34.68;184.07;60.89;20.8;32.09;0.73;2.51;3.8;18.65;92.83;111.71;117.29
