,0,1,2,3,4,5,6,7,8,mean
lon,-46.5,-45.5,-44.5,-46.5,-45.5,-44.5,-46.5,-45.5,-44.5,-45.5
lat,-10.5,-10.5,-10.5,-11.5,-11.5,-11.5,-12.5,-12.5,-12.5,-11.5
11/1/1935 0:00,179.17,119.33,111.79,170.55,135.65,94.95,185.34,156.75,123.93,141.94
12/1/1935 0:00,191.58,137.73,133.49,258.08,197,154.38,281.4,244.78,197.14,199.5088889
1/1/1936 0:00,128.55,133.25,113.35,155.64,144.34,143.91,181.66,143.9,155.79,144.4877778
2/1/1936 0:00,431.75,390.51,388.13,426.93,351.28,344.91,438.35,348.27,320.23,382.2622222
3/1/1936 0:00,131.76,55.14,58.38,180.89,74.57,62.82,201.33,101.93,72.11,104.3255556
4/1/1936 0:00,173,92.34,78.72,264.1,127.03,85.36,268.37,169.59,111.74,152.25
5/1/1936 0:00,33.56,5.79,1.88,28.23,35.58,14,22.76,43.85,42.69,25.37111111
6/1/1936 0:00,0.12,0.68,0.56,1.29,0.08,0.35,2.1,0.31,0.28,0.641111111
7/1/1936 0:00,0,0,0.02,0.36,0.45,0.01,0.38,0.4,0.02,0.182222222
8/1/1936 0:00,0.28,0.23,0.66,0.04,0.32,0.14,0.33,0.4,0.99,0.376666667
9/1/1936 0:00,14.77,10.44,0.38,9.17,8.72,1.41,2.44,0.22,1.37,5.435555556
10/1/1936 0:00,94.13,75.52,87,81.95,68.84,58.93,84.03,59.19,94.14,78.19222222
11/1/1936 0:00,225.04,202.83,178.12,248.44,241.84,211.61,259.25,264.62,254.43,231.7977778
12/1/1936 0:00,175.53,101.7,158.37,291.48,151.87,116.88,337.8,222.14,162.88,190.9611111
1/1/1937 0:00,222.1,185.56,231.1,259.99,232.9,231.96,283.43,296.48,211.16,239.4088889
2/1/1937 0:00,308.98,305.28,188.27,235.35,256.9,182.49,210.97,200.7,199.54,232.0533333
3/1/1937 0:00,170.56,127.53,132.33,282.87,151.21,152.09,322.3,193.63,125.66,184.2422222
4/1/1937 0:00,209.88,214.85,130.56,101.65,142.66,88.29,59.44,89.45,100.35,126.3477778
5/1/1937 0:00,71.27,64.29,47.18,65.18,47.39,19.59,57.39,28.57,10.5,45.70666667
6/1/1937 0:00,1.12,1.72,0.71,2.27,3.3,1.11,2.47,5.3,1.98,2.22
7/1/1937 0:00,0.67,0.35,0.12,0.64,0.78,0.01,0.36,0.5,0,0.381111111
8/1/1937 0:00,20.77,23.52,9.47,6.34,13.52,2.05,0.36,0.68,0.82,8.614444444
9/1/1937 0:00,33.98,30.04,5.11,25.91,23.55,5.79,17.02,12.16,11.86,18.38
10/1/1937 0:00,118.05,76.33,73.93,130.63,80.99,59.87,143.01,82.33,87.61,94.75
11/1/1937 0:00,213.75,139.29,96.24,299.65,176.16,132.69,341.1,214.13,177.4,198.9344444
12/1/1937 0:00,319.78,239.19,287.99,403.64,262.75,251.73,449.05,307.06,189.32,301.1677778
1/1/1938 0:00,175.03,102.16,66.38,238.75,109.36,85.57,275.59,123.69,76.2,139.1922222
2/1/1938 0:00,102.99,59.04,74.23,128.77,75.01,102.36,146.83,104.36,109.79,100.3755556
3/1/1938 0:00,247.24,217.1,102.25,181.08,168.16,111.21,156.42,117.91,91.74,154.79
4/1/1938 0:00,133.67,97.26,46.85,97.4,70.35,48.15,84.47,57.59,83.29,79.89222222
5/1/1938 0:00,17.72,11.27,25.71,26,10.42,7.06,24.55,9.88,3.96,15.17444444
6/1/1938 0:00,1.11,1.69,0.71,1.91,0.71,0.31,2.1,0.45,0.14,1.014444444
7/1/1938 0:00,0.71,0.34,0.12,1.7,0.89,0.01,1.55,0.68,0,0.666666667
8/1/1938 0:00,1.69,1.05,0.76,1.35,1.05,0,0.35,0.58,0.82,0.85
9/1/1938 0:00,15.05,10.45,0.33,8.87,8.24,0.83,1.9,0.64,1.31,5.291111111
10/1/1938 0:00,102.61,65.94,20.74,53.07,65.97,20.89,37.68,54.57,42.51,51.55333333
11/1/1938 0:00,210.5,197.15,96.9,174.51,169.74,113.87,163.52,135.65,193.15,161.6655556
