;Er (m)
1961-03-01 00:00:00;-0.0041124257
1961-04-01 00:00:00;-0.0028483137
1961-05-01 00:00:00;-0.0014773582
1961-06-01 00:00:00;-0.00076689624
1961-07-01 00:00:00;-0.00058619224
1961-08-01 00:00:00;-0.00053262105
1961-09-01 00:00:00;-0.00053499074
1961-10-01 00:00:00;-0.00048033474
1961-11-01 00:00:00;-0.000752169
1961-12-01 00:00:00;-0.0029356622
1962-01-01 00:00:00;-0.0035124621
1962-02-01 00:00:00;-0.0038330518
1962-03-01 00:00:00;-0.0037413382
1962-04-01 00:00:00;-0.0032526404
1962-05-01 00:00:00;-0.0024523365
1962-06-01 00:00:00;-0.0011678678
1962-07-01 00:00:00;-0.0008348086
1962-08-01 00:00:00;-0.0006728204
1962-09-01 00:00:00;-0.0006144732
1962-10-01 00:00:00;-0.0015670218
1962-11-01 00:00:00;-0.003280088
1962-12-01 00:00:00;-0.003296061
1963-01-01 00:00:00;-0.0041987672
1963-02-01 00:00:00;-0.0037757214
1963-03-01 00:00:00;-0.0039624562
1963-04-01 00:00:00;-0.0034479513
1963-05-01 00:00:00;-0.0027089908
1963-06-01 00:00:00;-0.0014413806
1963-07-01 00:00:00;-0.0010179117
1963-08-01 00:00:00;-0.00090958615
1963-09-01 00:00:00;-0.00083907647
1963-10-01 00:00:00;-0.0008033145
1963-11-01 00:00:00;-0.0029769766
1963-12-01 00:00:00;-0.0020935996
1964-01-01 00:00:00;-0.0028713024
1964-02-01 00:00:00;-0.0037151906
1964-03-01 00:00:00;-0.0038184398
1964-04-01 00:00:00;-0.0034676986
1964-05-01 00:00:00;-0.002848274
1964-06-01 00:00:00;-0.0017600219
1964-07-01 00:00:00;-0.0012123096
1964-08-01 00:00:00;-0.0010483852
1964-09-01 00:00:00;-0.0011646387
1964-10-01 00:00:00;-0.0026441854
1964-11-01 00:00:00;-0.0032937077
1964-12-01 00:00:00;-0.003919205
1965-01-01 00:00:00;-0.0040340833
1965-02-01 00:00:00;-0.0041558887
1965-03-01 00:00:00;-0.0036256071
1965-04-01 00:00:00;-0.00334201
1965-05-01 00:00:00;-0.003175308
1965-06-01 00:00:00;-0.0017948756
1965-07-01 00:00:00;-0.0012918818
1965-08-01 00:00:00;-0.0011524847
1965-09-01 00:00:00;-0.0011084257
1965-10-01 00:00:00;-0.0023327074
1965-11-01 00:00:00;-0.0023988953
1965-12-01 00:00:00;-0.0036843242
1966-01-01 00:00:00;-0.0035920106
1966-02-01 00:00:00;-0.0035732095
1966-03-01 00:00:00;-0.0039367224
1966-04-01 00:00:00;-0.0031570538
1966-05-01 00:00:00;-0.0028577568
1966-06-01 00:00:00;-0.0022128248
1966-07-01 00:00:00;-0.0013581542
1966-08-01 00:00:00;-0.0011891908
1966-09-01 00:00:00;-0.001254294
1966-10-01 00:00:00;-0.002004306
