lon;lat;1941-01-01 00:00:00;1941-02-01 00:00:00;1941-03-01 00:00:00;1941-04-01 00:00:00;1941-05-01 00:00:00;1941-06-01 00:00:00;1941-07-01 00:00:00;1941-08-01 00:00:00;1941-09-01 00:00:00;1941-10-01 00:00:00;1941-11-01 00:00:00;1941-12-01 00:00:00;1942-01-01 00:00:00;1942-02-01 00:00:00;1942-03-01 00:00:00;1942-04-01 00:00:00;1942-05-01 00:00:00;1942-06-01 00:00:00;1942-07-01 00:00:00;1942-08-01 00:00:00;1942-09-01 00:00:00;1942-10-01 00:00:00;1942-11-01 00:00:00;1942-12-01 00:00:00;1943-01-01 00:00:00;1943-02-01 00:00:00;1943-03-01 00:00:00;1943-04-01 00:00:00;1943-05-01 00:00:00;1943-06-01 00:00:00;1943-07-01 00:00:00;1943-08-01 00:00:00;1943-09-01 00:00:00;1943-10-01 00:00:00;1943-11-01 00:00:00;1943-12-01 00:00:00;1944-01-01 00:00:00;1944-02-01 00:00:00;1944-03-01 00:00:00;1944-04-01 00:00:00;1944-05-01 00:00:00;1944-06-01 00:00:00;1944-07-01 00:00:00;1944-08-01 00:00:00;1944-09-01 00:00:00;1944-10-01 00:00:00;1944-11-01 00:00:00;1944-12-01 00:00:00;1945-01-01 00:00:00;1945-02-01 00:00:00;1945-03-01 00:00:00;1945-04-01 00:00:00;1945-05-01 00:00:00;1945-06-01 00:00:00;1945-07-01 00:00:00;1945-08-01 00:00:00;1945-09-01 00:00:00;1945-10-01 00:00:00;1945-11-01 00:00:00;1945-12-01 00:00:00;1946-01-01 00:00:00;1946-02-01 00:00:00;1946-03-01 00:00:00;1946-04-01 00:00:00;1946-05-01 00:00:00;1946-06-01 00:00:00;1946-07-01 00:00:00;1946-08-01 00:00:00;1946-09-01 00:00:00;1946-10-01 00:00:00;1946-11-01 00:00:00;1946-12-01 00:00:00;1947-01-01 00:00:00;1947-02-01 00:00:00;1947-03-01 00:00:00;1947-04-01 00:00:00;1947-05-01 00:00:00;1947-06-01 00:00:00;1947-07-01 00:00:00;1947-08-01 00:00:00;1947-09-01 00:00:00;1947-10-01 00:00:00;1947-11-01 00:00:00;1947-12-01 00:00:00;1948-01-01 00:00:00;1948-02-01 00:00:00;1948-03-01 00:00:00;1948-04-01 00:00:00;1948-05-01 00:00:00;1948-06-01 00:00:00;1948-07-01 00:00:00;1948-08-01 00:00:00;1948-09-01 00:00:00;1948-10-01 00:00:00;1948-11-01 00:00:00;1948-12-01 00:00:00;1949-01-01 00:00:00;1949-02-01 00:00:00;1949-03-01 00:00:00;1949-04-01 00:00:00;1949-05-01 00:00:00;1949-06-01 00:00:00;1949-07-01 00:00:00;1949-08-01 00:00:00;1949-09-01 00:00:00;1949-10-01 00:00:00;1949-11-01 00:00:00;1949-12-01 00:00:00;1950-01-01 00:00:00;1950-02-01 00:00:00;1950-03-01 00:00:00;1950-04-01 00:00:00;1950-05-01 00:00:00;1950-06-01 00:00:00;1950-07-01 00:00:00;1950-08-01 00:00:00;1950-09-01 00:00:00;1950-10-01 00:00:00;1950-11-01 00:00:00;1950-12-01 00:00:00
-46.5;-10.5;230.28;182.66;295.43;181.0;24.12;1.28;0.94;1.82;19.11;115.33;115.14;237.21;220.46;213.36;99.75;88.51;65.06;1.19;0.32;1.4;60.35;89.75;162.5;300.17;328.21;129.19;279.59;128.19;16.13;3.28;0.32;1.41;13.06;117.55;233.43;260.11;178.71;221.4;124.16;165.16;15.35;1.19;0.32;1.4;12.09;104.93;216.22;417.13;237.47;193.27;149.08;200.57;81.99;2.07;0.98;1.96;30.42;172.78;197.4;255.55;181.13;142.09;175.99;102.95;48.39;2.51;0.99;1.96;21.27;104.76;175.08;71.22;425.78;169.91;428.54;78.91;22.45;1.94;1.04;7.24;18.72;115.39;320.38;272.31;98.01;139.85;184.91;90.54;17.12;1.94;0.99;2.51;35.53;167.89;215.35;452.3;225.65;165.8;77.13;96.06;25.96;2.03;1.06;1.93;14.58;180.63;245.08;90.36;185.8;152.61;139.16;236.78;16.86;2.03;1.06;1.93;34.16;136.29;167.78;148.37
-45.5;-10.5;163.89;153.69;248.6;131.3;15.7;1.53;0.26;1.02;7.66;51.24;80.44;175.6;184.37;214.36;64.25;88.26;55.55;1.35;0.0;0.72;51.35;86.91;165.0;281.49;211.48;88.21;234.79;101.07;6.09;2.16;0.0;0.88;6.55;79.51;212.43;186.59;130.97;186.49;96.97;160.21;5.64;1.41;0.0;0.71;5.21;74.19;169.9;410.43;130.69;133.43;132.49;167.2;43.32;2.71;0.0;0.72;29.42;106.47;210.99;216.78;139.59;108.78;102.99;98.75;27.5;1.83;0.0;0.71;14.42;35.35;169.34;6.86;400.33;107.72;344.92;64.03;13.59;1.36;0.0;1.35;5.91;81.94;388.42;111.94;52.3;101.96;163.2;90.4;5.77;1.35;0.0;0.71;12.06;134.8;251.54;405.01;176.54;85.69;45.46;111.75;8.71;1.36;0.0;0.71;5.4;168.74;288.06;24.13;110.33;148.05;142.17;260.9;6.07;1.37;0.0;0.71;12.92;98.1;143.54;118.01
-44.5;-10.5;113.97;166.94;192.28;51.64;2.0;0.69;0.11;0.85;1.23;30.1;84.52;183.49;149.35;158.79;45.18;54.31;8.25;0.68;0.03;0.69;25.4;138.91;179.31;235.7;108.3;92.57;199.9;79.24;0.42;2.68;0.03;0.69;0.33;61.56;205.65;216.12;70.17;160.05;102.55;171.13;0.38;0.9;0.03;0.69;0.12;99.89;105.38;413.25;90.04;108.04;200.59;91.34;35.43;4.66;0.03;0.69;5.23;112.11;129.06;191.56;107.22;82.73;123.07;42.94;23.73;0.78;0.03;0.69;3.89;34.46;174.34;52.13;310.42;163.23;327.77;50.45;2.62;0.68;0.03;1.57;0.15;125.68;391.72;91.83;28.45;68.93;140.35;30.23;0.38;0.71;0.03;0.7;2.0;76.73;203.8;396.19;91.2;106.74;70.66;136.41;9.91;0.68;0.03;0.69;0.12;78.84;188.65;45.68;74.45;137.59;128.13;204.88;0.84;0.68;0.03;0.69;0.99;63.52;151.37;131.09
-46.5;-11.5;158.3;264.43;323.39;150.11;14.67;2.34;3.24;3.18;12.75;147.17;186.74;269.08;294.34;368.02;142.32;78.66;36.36;2.68;0.46;0.6;118.86;145.62;234.57;397.53;373.84;228.69;248.68;83.33;11.91;4.76;0.46;0.67;25.28;140.06;349.97;384.56;133.55;252.96;153.05;178.32;11.97;1.9;0.46;0.59;8.42;166.89;228.79;498.32;314.59;201.48;226.46;225.08;118.47;3.42;1.69;1.95;20.32;196.87;215.9;281.17;262.63;160.19;237.01;93.16;55.07;3.5;1.46;1.95;29.78;114.45;217.64;142.89;381.45;193.85;499.53;82.05;16.47;3.44;1.46;18.53;29.51;131.88;289.68;373.64;162.64;161.79;193.2;77.03;15.29;3.69;1.47;1.98;33.82;154.82;219.7;523.26;246.0;246.01;92.55;66.01;29.69;3.45;1.47;1.97;13.82;158.36;223.79;122.49;237.29;151.38;158.81;199.5;15.3;3.45;1.48;1.97;35.7;129.69;213.45;158.41
-45.5;-11.5;161.03;173.52;230.33;91.72;11.93;0.59;0.91;1.57;8.62;71.31;104.51;166.64;196.82;183.08;51.94;72.31;34.88;0.59;0.5;1.0;60.98;115.91;219.71;277.02;191.7;113.42;214.79;82.73;5.1;1.24;0.5;1.89;16.98;113.39;266.35;191.06;151.59;170.12;103.49;117.69;4.38;0.56;0.5;1.0;5.0;116.82;190.99;430.54;168.16;131.61;133.92;145.22;55.14;0.55;0.59;1.08;19.75;153.59;214.59;290.85;116.55;121.16;144.02;70.18;28.36;0.81;0.55;1.08;22.2;38.45;194.39;54.2;337.79;119.48;352.74;34.27;8.89;0.65;0.55;4.16;9.53;135.98;400.07;143.05;99.54;136.25;166.47;56.73;4.59;0.71;0.55;1.08;8.74;108.53;254.38;462.76;172.68;101.91;43.84;82.94;7.9;0.65;0.55;1.08;5.1;175.62;290.73;57.12;128.08;178.88;146.36;210.13;4.77;0.65;0.55;1.08;16.18;89.48;180.73;122.62
-44.5;-11.5;122.48;124.38;175.92;53.5;8.42;0.32;2.07;0.8;10.53;33.01;71.54;132.94;133.26;180.29;27.47;65.53;5.26;0.32;0.01;0.0;48.32;133.07;259.59;204.15;106.46;94.69;138.62;86.24;0.71;2.77;0.07;0.37;8.16;95.99;240.13;195.01;91.09;144.41;95.06;131.11;0.67;0.36;0.01;0.0;1.15;76.46;143.74;441.55;135.74;84.53;166.52;102.89;40.1;3.0;0.01;0.0;11.57;117.47;141.38;192.53;103.52;90.59;138.88;58.92;52.28;0.34;0.01;0.0;7.59;16.38;195.93;51.09;275.53;148.15;381.59;43.04;2.42;0.34;0.01;0.56;1.66;122.48;360.29;141.67;43.18;83.55;151.22;39.59;0.89;0.99;0.07;0.0;2.57;59.55;192.36;385.35;114.17;81.04;56.51;100.61;7.38;0.34;0.01;0.0;1.07;83.64;214.11;61.48;75.36;157.29;98.13;192.42;2.18;0.34;0.01;0.0;5.96;47.77;182.17;120.55
-46.5;-12.5;150.6;295.49;337.68;144.67;7.43;3.27;3.63;3.6;7.7;171.95;235.76;290.59;332.37;433.31;161.22;66.08;20.83;2.84;0.33;0.33;139.45;166.04;260.1;439.1;420.3;279.18;230.56;61.69;6.74;5.51;0.33;0.43;41.69;157.02;389.85;442.02;122.29;275.83;160.36;178.77;7.34;2.12;0.32;0.33;3.02;188.13;238.2;526.95;372.38;218.12;248.95;225.67;184.14;2.37;1.17;0.52;12.41;224.67;271.07;308.18;307.37;166.25;269.95;70.27;51.1;2.39;0.45;0.52;47.38;45.48;291.82;227.53;332.35;175.01;588.68;89.87;8.01;2.38;0.45;41.13;49.9;140.58;283.16;421.02;297.81;171.12;213.93;79.09;7.93;3.64;0.45;0.51;13.08;115.59;245.88;663.75;295.03;338.21;83.72;18.98;30.36;2.38;0.44;0.51;3.39;141.49;217.29;132.32;279.41;133.65;244.74;125.69;7.89;2.37;0.44;0.51;20.03;110.12;245.26;172.01
-45.5;-12.5;165.55;224.34;325.0;126.21;2.88;0.8;1.53;1.58;11.64;96.2;111.6;142.04;218.78;219.69;75.26;67.11;12.12;0.86;0.21;0.45;92.71;140.6;340.29;329.85;237.12;133.62;216.36;78.26;5.25;1.46;0.21;2.14;43.82;126.44;284.39;303.69;105.83;161.57;120.77;136.35;2.12;0.74;0.21;0.45;1.46;127.48;168.22;404.68;234.33;89.23;161.07;129.8;115.39;0.89;0.64;1.07;5.79;185.87;195.92;248.43;153.38;98.26;227.27;64.75;34.36;1.32;0.52;1.07;28.05;23.2;224.85;150.31;283.47;128.7;413.49;88.15;5.04;1.33;0.52;9.54;17.71;112.59;328.22;285.02;160.45;135.16;198.96;46.17;4.0;1.5;0.52;1.07;4.04;94.43;137.04;589.38;260.05;151.76;59.8;67.44;12.69;1.32;0.52;1.07;2.14;223.46;218.99;109.2;112.83;195.53;180.15;163.96;4.17;1.33;0.52;1.07;15.33;131.39;244.17;132.48
-44.5;-12.5;140.5;186.21;263.03;99.43;4.29;0.2;2.62;0.93;12.57;64.86;73.76;125.49;127.03;173.59;52.96;46.27;5.01;0.15;0.0;0.73;56.58;170.02;314.21;202.92;123.63;89.59;156.33;96.66;3.67;1.24;0.0;2.0;16.51;99.56;251.72;196.88;91.44;147.33;81.75;114.47;2.39;0.15;0.0;0.73;1.45;106.32;153.33;434.22;156.08;78.6;166.01;110.08;64.18;0.4;0.03;1.24;18.47;165.13;199.01;199.71;109.49;117.79;176.79;57.75;43.44;0.4;0.03;1.25;17.21;28.31;222.02;73.56;255.27;171.6;340.14;49.95;3.99;0.4;0.03;2.99;7.36;105.29;327.1;180.4;79.11;92.51;154.04;41.73;3.41;0.44;0.03;1.25;9.23;99.39;160.74;417.6;165.63;109.49;46.78;70.13;8.63;0.4;0.03;1.25;2.66;172.36;175.96;73.71;84.22;176.16;150.1;147.3;3.53;0.4;0.03;1.25;15.51;87.48;178.09;110.63
